EC_locusTag	NCBI_name	Regulondb_name	Abasy_name	Ecocyc_name	Synonyms
b0313	betI	betI	betI	betI	
b0447	decR	decR	NA	decR	ybaO // cyuR
b0487	cueR	cueR	cueR	cueR	copR // ybbI
b0889	lrp	lrp	lrp	lrp	rblA // oppI // mbf // lstR // alsB // ihb // livR // lrs // lss
b1013	rutR	rutR	rutR	rutR	ycdC
b1111	comR	comR	comR	comR	ycfQ
b1299	puuR	puuR	puuR	puuR	ycjC
b1328	pgrR	pgrR	pgrR	pgrR	ycjZ
b1642	slyA	slyA	slyA	slyA	
b1658	purR	purR	purR	purR	
b1853	yebK	yebK	NA	yebK	hexR(P.a.)
b2193	narP	narP	narP	narP	
b2220	atoC	atoC	atoC	atoC	
b2808	gcvA	gcvA	gcvA	gcvA	
b2837	galR	galR	galR	galR	Rgal
b2916	argP	argP	argP	argP	iciA
b3060	ttdR	ttdR	ttdR	ttdR	dan // ygiP
b3226	nanR	nanR	nanR	nanR	yhcK
b3292	zntR	zntR	zntR	zntR	yhdM
b3422	rtcR	rtcR	NA	rtcR	yhgB
b3753	rbsR	rbsR	rbsR	rbsR	
b3868	glnG	glnG	glnG	glnG	glnT // ntrC
b3884	csqR	csqR	NA	csqR	yihW
b3934	cytR	cytR	cytR	cytR	
b4063	soxR	soxR	soxR	soxR	marC
b4191	ulaR	ulaR	ulaR	ulaR	yjfQ
b4396	rob	rob	rob	rob	cbpB // robA
b3438	gntR	gntR	gntR	gntR	
