Geneid	Anotacion	Locus	ID	C.1	C.3	C.4	F.1	F.2	F.4	M.1	M.3	M.4	H.1	H.2	H.3
cds0	type II toxin-antitoxin system RelE/ParE family toxin	RPHASCH2410_PA00005	WP_016736955.1	1248	1203	1302	2420	2676	2687	1610	1120	1184	1716	2183	1747
cds1	type II toxin-antitoxin system Phd/YefM family antitoxin	RPHASCH2410_PA00010	WP_016736954.1	2877	2557	2904	5385	5930	5808	4312	2910	3025	4062	5711	3526
cds2	LLM class flavin-dependent oxidoreductase	RPHASCH2410_PA00015	WP_016736953.1	42	27	24	41	32	28	32	23	20	33	36	34
cds3	FMN-dependent monooxygenase	RPHASCH2410_PA00020	WP_016736952.1	91	72	67	67	87	84	73	62	47	57	67	50
cds4	amidohydrolase	RPHASCH2410_PA00025	WP_016736951.1	107	114	107	96	105	90	63	80	75	76	87	63
cds5	N-acetyltransferase	RPHASCH2410_PA00030	WP_029532086.1	89	75	73	37	35	52	31	34	35	34	41	26
cds6	ABC transporter ATP-binding protein	RPHASCH2410_PA00035	WP_080956222.1	294	210	236	225	244	234	202	144	188	206	281	163
cds7	ABC transporter substrate-binding protein	RPHASCH2410_PA00040	WP_016736949.1	57	66	79	82	72	77	71	60	66	49	68	52
cds8	ABC transporter substrate-binding protein	RPHASCH2410_PA00045	WP_016736948.1	84	76	71	78	69	89	60	53	49	67	82	61
cds9	LLM class flavin-dependent oxidoreductase	RPHASCH2410_PA00050	WP_016736947.1	81	69	68	90	110	77	101	76	86	68	100	60
cds10	2-hydroxychromene-2-carboxylate isomerase	RPHASCH2410_PA00055	WP_016736946.1	62	49	70	64	82	73	62	43	55	52	83	67
cds11	FMN reductase	RPHASCH2410_PA00060	WP_016736945.1	47	34	45	32	46	52	33	31	27	41	49	35
cds12	hypothetical protein	RPHASCH2410_PA00065	WP_016736944.1	10	12	17	11	18	20	19	13	13	17	17	8
cds13	serine hydrolase family protein	RPHASCH2410_PA00070	WP_016736940.1	44	51	54	43	54	23	38	26	35	24	43	23
cds14	hypothetical protein	RPHASCH2410_PA00075	WP_016736939.1	25	10	17	30	10	21	28	17	24	12	22	19
