ORF	ProteinID	LocusTag
cds21	WP_016736932.1	RPHASCH2410_PA00110
cds22	WP_016736931.1	RPHASCH2410_PA00115
cds23	WP_016736930.1	RPHASCH2410_PA00120
cds24	WP_016736929.1	RPHASCH2410_PA00125
cds41	WP_016736911.1	RPHASCH2410_PA00215
cds59	WP_016736894.1	RPHASCH2410_PA00305
cds60	WP_016736893.1	RPHASCH2410_PA00310
cds118	WP_029532041.1	RPHASCH2410_PA00600
cds122	WP_016736836.1	RPHASCH2410_PA00620
cds123	WP_016736835.1	RPHASCH2410_PA00625
cds150	WP_029532030.1	RPHASCH2410_PA00765
cds151	WP_016736811.1	RPHASCH2410_PA00770
cds152	WP_004677491.1	RPHASCH2410_PA00775
cds153	WP_029532026.1	RPHASCH2410_PA00780
cds159	WP_004674652.1	RPHASCH2410_PA00810
cds209	WP_010016978.1	RPHASCH2410_PA01045
cds210	WP_016737081.1	RPHASCH2410_PA01050
cds211	WP_016737080.1	RPHASCH2410_PA01055
cds212	WP_016737079.1	RPHASCH2410_PA01060
cds229	WP_004674667.1	RPHASCH2410_PA01140
cds232	WP_016737066.1	RPHASCH2410_PA01150
cds247	WP_016737051.1	RPHASCH2410_PA01225
cds250	WP_016737048.1	RPHASCH2410_PA01240
cds253	WP_016737045.1	RPHASCH2410_PA01255
cds254	WP_016737044.1	RPHASCH2410_PA01260
cds255	WP_016737043.1	RPHASCH2410_PA01265
cds257	WP_016737041.1	RPHASCH2410_PA01275
cds278	WP_016737023.1	RPHASCH2410_PA01385
cds279	WP_004670822.1	RPHASCH2410_PA01390
cds280	WP_029532110.1	RPHASCH2410_PA01395
cds302	WP_016737000.1	RPHASCH2410_PA01505
cds325	WP_016736977.1	RPHASCH2410_PA01620
cds326	WP_004670929.1	RPHASCH2410_PA01625
cds353	WP_016736659.1	RPHASCH2410_PB00015
cds372	WP_012490604.1	RPHASCH2410_PB00100
cds380	WP_004678031.1	RPHASCH2410_PB00140
cds381	WP_016736680.1	RPHASCH2410_PB00145
cds397	WP_029531975.1	RPHASCH2410_PB00225
cds409	WP_016736701.1	RPHASCH2410_PB00285
cds410	WP_016736702.1	RPHASCH2410_PB00290
cds425	WP_016736713.1	RPHASCH2410_PB00365
cds428	WP_012490656.1	RPHASCH2410_PB00380
cds430	WP_029531978.1	RPHASCH2410_PB00390
cds434	WP_029531980.1	RPHASCH2410_PB00410
cds440	WP_016736721.1	RPHASCH2410_PB00440
cds463	WP_039752254.1	RPHASCH2410_PB00555
cds464	WP_016736741.1	RPHASCH2410_PB00560
cds465	WP_004669789.1	RPHASCH2410_PB00565
cds468	WP_016736744.1	RPHASCH2410_PB00580
cds471	WP_029531995.1	RPHASCH2410_RS21785
cds472	WP_016736747.1	RPHASCH2410_PB00600
cds473	WP_016736748.1	RPHASCH2410_PB00605
cds474	WP_046977157.1	RPHASCH2410_PB00610
cds476	WP_016736751.1	
cds477	WP_012490702.1	RPHASCH2410_PB00620
cds478	WP_012490703.1	RPHASCH2410_PB00625
cds507	WP_012490730.1	RPHASCH2410_PB00770
cds508	WP_016736774.1	RPHASCH2410_PB00775
cds509	WP_016736775.1	RPHASCH2410_PB00780
cds521	WP_016736787.1	RPHASCH2410_PB00840
cds522	WP_016736788.1	RPHASCH2410_RS22040
cds566	WP_029531919.1	RPHASCH2410_PB01065
cds569	WP_016736513.1	RPHASCH2410_PB01080
cds570	WP_016736514.1	RPHASCH2410_PB01085
cds571	WP_016736515.1	RPHASCH2410_PB01090
cds618	WP_016736554.1	RPHASCH2410_PB01315
cds619	WP_016736555.1	RPHASCH2410_PB01320
cds620	WP_029531939.1	RPHASCH2410_PB01325
cds621	WP_016736556.1	RPHASCH2410_PB01330
cds622	WP_016736557.1	RPHASCH2410_PB01335
cds623	WP_012490471.1	RPHASCH2410_PB01340
cds624	WP_080956176.1	RPHASCH2410_PB01345
cds625	WP_012490473.1	RPHASCH2410_PB01350
cds626	WP_016736558.1	RPHASCH2410_PB01355
cds627	WP_004674851.1	RPHASCH2410_PB01360
cds628	WP_012490476.1	RPHASCH2410_PB01365
cds629	WP_016736559.1	RPHASCH2410_PB01370
cds638	WP_016736567.1	RPHASCH2410_PB01415
cds688	WP_010014881.1	RPHASCH2410_PB01660
cds689	WP_016736613.1	RPHASCH2410_PB01665
cds690	WP_016736614.1	RPHASCH2410_PB01670
cds691	WP_016736615.1	RPHASCH2410_PB01675
cds724	WP_016736641.1	RPHASCH2410_PB01840
cds785	WP_004671987.1	RPHASCH2410_PC00210
cds820	WP_016737490.1	RPHASCH2410_PC00390
cds821	WP_011053454.1	RPHASCH2410_PC00395
cds827	WP_010022281.1	RPHASCH2410_PC00430	
cds831	WP_010024000.1	RPHASCH2410_PC00450
cds832	gbkey=CDS	RPHASCH2410_PC00455
cds833	WP_011053463.1	RPHASCH2410_PC00460
cds834	WP_011053464.1	RPHASCH2410_PC00465
cds835	WP_011053465.1	RPHASCH2410_PC00470
cds836	WP_011053466.1	RPHASCH2410_PC00475
cds838	WP_010025697.1	RPHASCH2410_PC00485
cds872	WP_004679687.1	RPHASCH2410_PC00625
cds886	WP_004677759.1	RPHASCH2410_PC00700
cds953	WP_077991546.1	RPHASCH2410_PC01030
cds962	gbkey=CDS	
cds998	gbkey=CDS	RPHASCH2410_PC01195
cds1006	WP_077991535.1	RPHASCH2410_PC01240
cds1007	WP_016737410.1	
cds1008	gbkey=CDS	
cds1013	WP_008534237.1	RPHASCH2410_PC01265
cds1014	WP_046977176.1	RPHASCH2410_PC01270
cds1015	WP_046977177.1	RPHASCH2410_PC01275
cds1016	WP_046977178.1	RPHASCH2410_PC01280
cds1017	WP_046977179.1	RPHASCH2410_PC01285
cds1018	WP_046977180.1	RPHASCH2410_RS24310
cds1028	WP_009995183.1	RPHASCH2410_PC01335
cds1032	WP_010031884.1	RPHASCH2410_PC01355
cds1045	WP_011053340.1	RPHASCH2410_PC01440
cds1064	WP_016737424.1	RPHASCH2410_PC01530
cds1076	WP_004671535.1	RPHASCH2410_PC01590
cds1077	WP_008534378.1	RPHASCH2410_PC01595
cds1078	WP_008534380.1	RPHASCH2410_PC01600
cds1088	WP_016737437.1	RPHASCH2410_PC01650
cds1089	WP_039752580.1	RPHASCH2410_PC01655
cds1115	WP_016737454.1	RPHASCH2410_PC01785
cds1116	WP_039752605.1	RPHASCH2410_PC01790
cds1196	WP_016735368.1	RPHASCH2410_PD00015
cds1210	WP_016735379.1	RPHASCH2410_PD00100
cds1211	WP_016735380.1	RPHASCH2410_PD00105
cds1212	WP_029531719.1	RPHASCH2410_PD00110
