geneName	locusTag	proteinID
nifR	RPHASCH2410_CH02630	KKZ89515.1
nodN	RPHASCH2410_CH03920	KKZ88303.1
fixLch	RPHASCH2410_CH07430	KKZ88986.1
fixJ	RPHASCH2410_CH07435	KKZ88987.1
nodL	RPHASCH2410_CH08185	KKZ88100.1
nifU1	RPHASCH2410_CH08880	KKZ88239.1
nodT	RPHASCH2410_CH16550	KKZ86733.1
fnrNch	RPHASCH2410_CH20730	KKZ85764.1
nifU2	RPHASCH2410_CH21170	KKZ85489.1
nifSch	RPHASCH2410_CH21455	KKZ85545.1
nodX	RPHASCH2410_CH21465	KKZ85547.1
nfeD	RPHASCH2410_PA00455	KKZ85217.1
fixSa	RPHASCH2410_PA00875	KKZ85300.1
fixIa	RPHASCH2410_PA00880	KKZ85301.1
fixHa	RPHASCH2410_PA00885	KKZ85302.1
fixGa	RPHASCH2410_PA00890	KKZ85303.1
fixPa	RPHASCH2410_PA00895	KKZ85304.1
fixQa	RPHASCH2410_PA00900	KKZ85305.1
fixOa	RPHASCH2410_PA00905	KKZ85306.1
fixNa	RPHASCH2410_PA00910	KKZ85307.1
fixKa	RPHASCH2410_PA00915	KKZ85308.1
fixLa	RPHASCH2410_PA00920	KKZ85309.1
nifX	RPHASCH2410_PC00060	KKZ84367.1
nifN	RPHASCH2410_PC00065	KKZ84368.1
nifE	RPHASCH2410_PC00070	KKZ84369.1
nifK1	RPHASCH2410_PC00075	KKZ84370.1
nifD1	RPHASCH2410_PC00080	KKZ84371.1
nifH1	RPHASCH2410_PC00085	KKZ84372.1
fnrN	RPHASCH2410_PC00105	KKZ84376.1
nifU	RPHASCH2410_PC00130	KKZ84381.1
nifS	RPHASCH2410_PC00135	KKZ84382.1
nifW	RPHASCH2410_PC00140	KKZ84383.1
fixA	RPHASCH2410_PC00145	KKZ84384.1
fixB	RPHASCH2410_PC00150	KKZ84385.1
fixC	RPHASCH2410_PC00155	KKZ84386.1
fixX	RPHASCH2410_PC00160	KKZ84387.1
nifA	RPHASCH2410_PC00165	KKZ84388.1
nifB	RPHASCH2410_PC00170	KKZ84389.1
nifZ	RPHASCH2410_PC00180	KKZ84391.1
nifQ	RPHASCH2410_PC00350	KKZ84418.1
nifH3	RPHASCH2410_PC00355	KKZ84419.1
nifD3	RPHASCH2410_PC00360	KKZ84420.1
nolO	RPHASCH2410_PC00395	KKZ84427.1
nodD1	RPHASCH2410_PC00435	KKZ84431.1
nodJ	RPHASCH2410_PC00445	KKZ84433.1
nodI	RPHASCH2410_PC00450	KKZ84434.1
nodS	RPHASCH2410_PC00460	KKZ84435.1
nodC	RPHASCH2410_PC00465	KKZ84436.1
nodB	RPHASCH2410_PC00470	KKZ84437.1
nodZ	RPHASCH2410_PC00485	KKZ84438.1
fixS	RPHASCH2410_PC00500	KKZ84441.1
fixI	RPHASCH2410_PC00505	KKZ84442.1
fixH	RPHASCH2410_PC00510	KKZ84443.1
fixG	RPHASCH2410_PC00515	KKZ84444.1
fixP	RPHASCH2410_PC00520	KKZ84445.1
fixQ	RPHASCH2410_PC00525	KKZ84446.1
fixO	RPHASCH2410_PC00530	KKZ84447.1
fixN	RPHASCH2410_PC00535	KKZ84448.1
nifK2	RPHASCH2410_PC00600	KKZ84460.1
nifD2	RPHASCH2410_PC00605	KKZ84461.1
nifH2	RPHASCH2410_PC00610	KKZ84462.1
nodA	RPHASCH2410_PC00625	KKZ84464.1
nodD2	RPHASCH2410_PC00685	KKZ84474.1
nodD3	RPHASCH2410_PC00695	KKZ84476.1
nolL	RPHASCH2410_PC00780	KKZ84490.1
nodW	RPHASCH2410_PD03930	KKZ84060.1
