Geneid	logFC	logCPM	F	PValue	adj.PVal	FDR	Locus	ID
cds473	5.5528312375971	9.6003550464716	8878.80580226297	1.79949967921193e-17	3.37518393340444e-14	3.37518393340444e-14	RPHASCH2410_PB00605	WP_016736748.1
cds472	6.02762423855208	10.9299927484307	8841.54083164437	1.84194860516512e-17	3.37518393340444e-14	3.37518393340444e-14	RPHASCH2410_PB00600	WP_016736747.1
cds820	6.45777160530148	7.55871533182135	8249.2675259981	2.70519684750557e-17	3.37518393340444e-14	3.37518393340444e-14	RPHASCH2410_PC00390	WP_016737490.1
cds836	6.5739408408183	9.27856918628991	6898.09660259167	7.29059903947507e-17	6.8221780511888e-14	6.8221780511888e-14		WP_011053466.1
cds3244	4.03088416659262	8.16714697930719	5747.81300841135	2.00330722539021e-16	1.41143529913726e-13	1.41143529913726e-13	RPHASCH2410_CH13465	WP_010035016.1
cds22	4.22767653493122	7.35957900687525	5622.94322311105	2.26251984900443e-16	1.41143529913726e-13	1.41143529913726e-13	RPHASCH2410_PA00115	WP_016736931.1
cds1720	3.96461241316143	8.35681681153412	5181.80963764744	3.55747590186196e-16	1.9022331858099e-13	1.9022331858099e-13	RPHASCH2410_PD02650	WP_016735831.1
cds620	4.02997497428915	9.85950523221509	4610.73742574891	6.79194273253761e-16	3.10677139572818e-13	3.10677139572818e-13	RPHASCH2410_PB01325	WP_029531939.1
cds477	5.19932621933811	8.15907148639681	4506.64150384668	7.70745477343159e-16	3.10677139572818e-13	3.10677139572818e-13	RPHASCH2410_PB00620	WP_012490702.1
cds4906	5.86338129678062	9.64133748871813	4371.25387782598	9.12559115672425e-16	3.10677139572818e-13	3.10677139572818e-13	RPHASCH2410_CH05305	WP_012485447.1
cds2391	3.41517482903702	8.63524947014062	4370.85188585393	9.13023920732298e-16	3.10677139572818e-13	3.10677139572818e-13	RPHASCH2410_CH00550	WP_008521951.1
cds4849	3.34859158546465	9.16249955473742	4285.66826583791	1.01814130894405e-15	3.17575243281465e-13	3.17575243281465e-13	RPHASCH2410_CH05030	WP_004679586.1
cds1751	3.77258213071259	8.09910352915697	3894.35210388056	1.72987060214711e-15	4.98069666448971e-13	4.98069666448971e-13	RPHASCH2410_PD02805	WP_016735858.1
cds621	3.33321075249518	9.32364273542207	3826.91190210692	1.90549505723176e-15	5.05065519041287e-13	5.05065519041287e-13	RPHASCH2410_PB01330	WP_016736556.1
cds2916	3.33147176881391	7.11105309918339	3785.40977678133	2.02404028469658e-15	5.05065519041287e-13	5.05065519041287e-13	RPHASCH2410_CH03270	WP_029531198.1
cds2880	2.94718852949393	7.7486183095082	3580.21513623629	2.75533667813639e-15	6.44576574141532e-13	6.44576574141532e-13	RPHASCH2410_CH03080	WP_004673778.1
cds6383	4.67695796823762	7.85313368021443	3505.59024826615	3.09598278335634e-15	6.81662562241341e-13	6.81662562241341e-13	RPHASCH2410_CH11370	WP_016734642.1
cds5882	3.67743452704758	9.49434460456028	3456.11749463484	3.34931169337616e-15	6.96470759350387e-13	6.96470759350387e-13	RPHASCH2410_CH08755	WP_008524652.1
cds59	3.13172901659353	7.40111276431224	3276.63139759425	4.49889578707663e-15	8.84880832200528e-13	8.84880832200528e-13	RPHASCH2410_PA00305	WP_016736894.1
cds4702	3.82305405974414	8.03315160764921	3227.89247548354	4.88780794607561e-15	8.84880832200528e-13	8.84880832200528e-13	RPHASCH2410_CH04250	WP_012485284.1
cds5895	2.94590482042578	9.79231709401998	3218.80981346162	4.96459991349481e-15	8.84880832200528e-13	8.84880832200528e-13	RPHASCH2410_CH08825	WP_012482410.1
cds465	3.15837964640976	12.5388352789308	3190.20393246351	5.21593173813497e-15	8.87419658901782e-13	8.87419658901782e-13	RPHASCH2410_PB00565	WP_004669789.1
cds6384	5.02096466033646	10.6820341364568	3122.13597741905	5.87688901116224e-15	9.20400745596126e-13	9.20400745596126e-13	RPHASCH2410_CH11375	WP_016734641.1
cds872	4.8484425686507	8.36318027612816	3116.74039702804	5.93338911478593e-15	9.20400745596126e-13	9.20400745596126e-13	RPHASCH2410_PC00625	WP_004679687.1
cds1577	4.20988074225121	9.26154909684526	3075.91235449981	6.38234730857125e-15	9.20400745596126e-13	9.20400745596126e-13	RPHASCH2410_PD01935	WP_016735699.1
cds3709	3.16453402614934	8.80219370641734	3074.95213311515	6.39337947782508e-15	9.20400745596126e-13	9.20400745596126e-13	RPHASCH2410_CH15775	WP_016733891.1
cds2758	2.92275454057921	9.34254053423416	2908.23298544472	8.70221747336361e-15	1.20638518528889e-12	1.20638518528889e-12	RPHASCH2410_CH02465	WP_008526906.1
cds23	3.15599443937735	6.58668882342745	2667.33546074042	1.40369570184191e-14	1.87644036142652e-12	1.87644036142652e-12	RPHASCH2410_PA00120	WP_016736930.1
cds834	3.31390192252824	7.38656546542991	2648.29823709004	1.46039718153907e-14	1.88491953465543e-12	1.88491953465543e-12	RPHASCH2410_PC00465	WP_011053464.1
cds4905	4.19768268998735	7.95389887395839	2565.17919564912	1.74193318633692e-14	2.17335197215303e-12	2.17335197215303e-12	RPHASCH2410_CH05300	WP_016736403.1
cds835	4.45296737078418	8.08220962231893	2544.95814555701	1.81982927380251e-14	2.19729708769122e-12	2.19729708769122e-12	RPHASCH2410_PC00470	WP_011053465.1
cds1719	3.08700400895661	6.82781889465287	2458.31029550263	2.20385135199184e-14	2.57781737828295e-12	2.57781737828295e-12	RPHASCH2410_PD02645	WP_016735830.1
cds3738	2.91764539246427	8.76164168985314	2439.43830810688	2.2997446846706e-14	2.60846798627941e-12	2.60846798627941e-12	RPHASCH2410_CH15920	WP_016733918.1
cds474	2.30864946086073	8.72404125895453	2403.95779324154	2.49370349911829e-14	2.74527417564699e-12	2.74527417564699e-12	RPHASCH2410_PB00610	WP_046977157.1
cds1145	-3.6457404242754	5.59726263873019	2377.79185645332	2.64917659709792e-14	2.78214950111483e-12	2.78214950111483e-12	RPHASCH2410_PC01945	WP_009983644.1
cds5614	3.08908569862944	10.677702591108	2373.48369676924	2.67585845685637e-14	2.78214950111483e-12	2.78214950111483e-12	RPHASCH2410_CH21610	WP_016733186.1
cds619	3.06158825222773	8.98647955396097	2331.35222756309	2.95423464162577e-14	2.95391263455953e-12	2.95391263455953e-12	RPHASCH2410_PB01320	WP_016736555.1
cds4739	3.39638479323615	6.21180443934344	2325.0300571959	2.99889607569495e-14	2.95391263455953e-12	2.95391263455953e-12	RPHASCH2410_CH04440	WP_029532271.1
cds4616	-3.62291475674868	9.80020254476342	2312.49912499375	3.08979511183839e-14	2.96541105220797e-12	2.96541105220797e-12	RPHASCH2410_CH03830	WP_012485214.1
cds569	2.66092696245284	8.71421827533732	2210.56826084374	3.96363199694458e-14	3.68551265895932e-12	3.68551265895932e-12	RPHASCH2410_PB01080	WP_016736513.1
cds4707	-2.4073939601425	8.44440341366879	2203.23818913903	4.03702962910319e-14	3.68551265895932e-12	3.68551265895932e-12	RPHASCH2410_CH04275	WP_016737311.1
cds4930	2.41042115298181	8.2220550378516	2175.54474432022	4.32920223482235e-14	3.8581438011762e-12	3.8581438011762e-12		WP_016736391.1
cds4738	3.60568604192621	7.27503623835205	2063.07356073528	5.80410686706374e-14	4.88128895350567e-12	4.88128895350567e-12	RPHASCH2410_CH04435	WP_016737333.1
cds4617	-3.95214110546909	11.7658850364729	2062.48563669253	5.81324965045463e-14	4.88128895350567e-12	4.88128895350567e-12	RPHASCH2410_CH03835	WP_012485215.1
cds4720	-3.24049561793864	7.55515350822214	2058.95576635091	5.86850127992934e-14	4.88128895350567e-12	4.88128895350567e-12	RPHASCH2410_CH04345	WP_016737321.1
cds2678	2.44357243868196	10.568268370861	1981.56344153787	7.25113495326578e-14	5.90021698479866e-12	5.90021698479866e-12	RPHASCH2410_CH02035	WP_004678838.1
cds430	3.14113560572494	6.56911032669942	1946.25985385481	8.00774039905291e-14	6.3772281518415e-12	6.3772281518415e-12	RPHASCH2410_PB00390	WP_029531978.1
cds4730	2.3186328656137	8.36555883815144	1907.13457309646	8.95773585921437e-14	6.98001033239593e-12	6.98001033239593e-12	RPHASCH2410_CH04395	WP_016737327.1
cds626	2.52138242344102	7.49605093261588	1900.27847366997	9.13760369456052e-14	6.98001033239593e-12	6.98001033239593e-12	RPHASCH2410_PB01355	WP_016736558.1
cds4645	2.25045531997326	9.22516571690943	1887.6213285556	9.4809860156873e-14	7.02349471748056e-12	7.02349471748056e-12	RPHASCH2410_CH03965	WP_003585885.1
cds4419	2.53178695142457	7.2034872282419	1884.4349444726	9.56981647319019e-14	7.02349471748056e-12	7.02349471748056e-12	RPHASCH2410_CH19415	WP_012484275.1
cds625	2.55919396594384	10.3855191506196	1863.3432904233	1.01832283587547e-13	7.3299661051575e-12	7.3299661051575e-12	RPHASCH2410_PB01350	WP_012490473.1
cds4899	2.03156338082744	8.77982625811059	1842.36617277187	1.08398633743813e-13	7.65539785100176e-12	7.65539785100176e-12	RPHASCH2410_CH05270	WP_016736406.1
cds623	2.1525672166141	7.85460878280033	1821.71306982679	1.15357234828613e-13	7.9959653696944e-12	7.9959653696944e-12	RPHASCH2410_PB01340	WP_012490471.1
cds4731	2.74130169580897	6.13763112848403	1760.48227566629	1.39310100517139e-13	9.4806855679209e-12	9.4806855679209e-12	RPHASCH2410_CH04400	WP_016737328.1
cds4615	-3.35524534585794	10.6044690677874	1741.16310399971	1.48055339289297e-13	9.88066927528155e-12	9.88066927528155e-12	RPHASCH2410_CH03825	WP_004677843.1
cds5628	3.0020506615784	9.92710179322027	1736.07146419203	1.50467044801242e-13	9.88066927528155e-12	9.88066927528155e-12	RPHASCH2410_CH21680	WP_004676212.1
cds5938	2.27329172592204	6.59999074513679	1722.5727429814	1.57088672602739e-13	1.01376362336561e-11	1.01376362336561e-11	RPHASCH2410_CH09040	WP_029531659.1
cds4548	-3.08023753320894	5.91963483567952	1697.72363929652	1.70199901064299e-13	1.0636210731503e-11	1.0636210731503e-11	RPHASCH2410_CH20065	WP_012484163.1
cds4550	-2.90462755099815	7.96162247886327	1692.90617022502	1.72888985671319e-13	1.0636210731503e-11	1.0636210731503e-11	RPHASCH2410_CH20075	WP_003564293.1
cds689	2.93156958441801	6.32872865939914	1692.10815156185	1.73339261186664e-13	1.0636210731503e-11	1.0636210731503e-11	RPHASCH2410_PB01665	WP_016736613.1
cds4722	-3.58975895291839	10.5199182946858	1678.47227612884	1.81251294204479e-13	1.09423160356027e-11	1.09423160356027e-11	RPHASCH2410_CH04355	WP_004668737.1
cds2677	2.201439170626	10.5800009424529	1665.64266298969	1.89087400481081e-13	1.12341926984236e-11	1.12341926984236e-11	RPHASCH2410_CH02030	WP_004678841.1
cds535	-2.24366022338154	9.1474830031334	1619.02216942479	2.21137897041709e-13	1.29331116972987e-11	1.29331116972987e-11	RPHASCH2410_PB00910	WP_016736797.1
cds228	-2.27677402288866	8.02797953542618	1603.89111422352	2.32890717162231e-13	1.34109223744343e-11	1.34109223744343e-11	RPHASCH2410_PA01135	WP_029532129.1
cds4607	2.29109389682088	6.14462149242056	1597.32323099214	2.38220751065298e-13	1.35100041096578e-11	1.35100041096578e-11	RPHASCH2410_CH03780	WP_020465417.1
cds4527	2.13203900586331	6.57162492391589	1590.3345991729	2.44051088728149e-13	1.36340779867084e-11	1.36340779867084e-11	RPHASCH2410_CH19960	WP_016733499.1
cds1477	-2.13174752179101	6.84320636142555	1560.89164340063	2.70539882575213e-13	1.4831889806762e-11	1.4831889806762e-11		WP_011651752.1
cds2850	2.22279931481195	7.79740295192442	1556.4999578061	2.74775517294703e-13	1.4831889806762e-11	1.4831889806762e-11		gbkey=CDS
cds821	2.82936842024055	7.5070852670697	1553.07749193409	2.78130700559499e-13	1.4831889806762e-11	1.4831889806762e-11	RPHASCH2410_PC00395	WP_011053454.1
cds570	2.309499822022	6.48660049006143	1549.84684080032	2.81342285941785e-13	1.4831889806762e-11	1.4831889806762e-11	RPHASCH2410_PB01085	WP_016736514.1
cds1567	3.31941316641335	7.20361590215862	1523.21248820851	3.09556166781686e-13	1.60926212814423e-11	1.60926212814423e-11	RPHASCH2410_PD01890	WP_016735691.1
