Geneid	Locus	ID	logFC
cds1145	RPHASCH2410_PC01945	WP_009983644.1	-3.6457404242754
cds4616	RPHASCH2410_CH03830	WP_012485214.1	-3.62291475674868
cds4707	RPHASCH2410_CH04275	WP_016737311.1	-2.4073939601425
cds4617	RPHASCH2410_CH03835	WP_012485215.1	-3.95214110546909
cds4720	RPHASCH2410_CH04345	WP_016737321.1	-3.24049561793864
cds4615	RPHASCH2410_CH03825	WP_004677843.1	-3.35524534585794
cds4548	RPHASCH2410_CH20065	WP_012484163.1	-3.08023753320894
cds4550	RPHASCH2410_CH20075	WP_003564293.1	-2.90462755099815
cds4722	RPHASCH2410_CH04355	WP_004668737.1	-3.58975895291839
cds535	RPHASCH2410_PB00910	WP_016736797.1	-2.24366022338154
cds228	RPHASCH2410_PA01135	WP_029532129.1	-2.27677402288866
cds1477		WP_011651752.1	-2.13174752179101
cds4491	RPHASCH2410_CH19775	WP_016733473.1	-1.983525614119
cds697	RPHASCH2410_PB01705	WP_016736621.1	-2.36994576919296
cds6511	RPHASCH2410_CH12020	WP_016734545.1	-3.12599690825148
cds536	RPHASCH2410_PB00915	WP_016736798.1	-2.63714471695317
cds4490		WP_012484340.1	-1.75903212687947
cds4343	RPHASCH2410_CH19020	WP_012484474.1	-1.73740346941449
cds2735	RPHASCH2410_CH02345	WP_016732936.1	-2.79870869587741
cds1715	RPHASCH2410_PD02625	WP_016735826.1	-1.98695236633744
cds549	RPHASCH2410_PB00980	WP_004673023.1	-2.55865856827416
cds4549		WP_016733337.1	-3.2047999052634
cds1675	RPHASCH2410_PD02420	WP_016735789.1	-2.88621668350679
cds1758	RPHASCH2410_PD02840	WP_029531796.1	-1.78007319024544
cds644	RPHASCH2410_PB01445	WP_016736572.1	-1.68667606666551
cds4719	RPHASCH2410_CH04340	WP_016737320.1	-1.86325407478764
cds1366	RPHASCH2410_PD00865	WP_016735522.1	-2.82566504388272
cds4761	RPHASCH2410_CH04550	WP_016737523.1	-2.04340902167728
cds4908	RPHASCH2410_CH05315	WP_016736402.1	-1.81329067355955
cds1365		WP_016735521.1	-2.94532500594938
cds4416	RPHASCH2410_CH19405	WP_016733411.1	-1.71294842131328
cds1798	RPHASCH2410_PD03035	WP_016735900.1	-1.66684591651604
cds2669	RPHASCH2410_CH01990	WP_016732897.1	-1.79958733994281
cds1583	RPHASCH2410_PD01965	WP_016735705.1	-2.72822606505995
cds4342	RPHASCH2410_CH19015	WP_012484473.1	-1.67613537404667
cds1259	RPHASCH2410_PD00350	WP_016735426.1	-2.18847836982234
cds111	RPHASCH2410_PA00565	WP_016736846.1	-2.47257019938794
cds1204	RPHASCH2410_PD00055	WP_016735375.1	-2.43897749066438
cds1708	RPHASCH2410_PD02585	WP_016735819.1	-2.16486647294645
cds2927	RPHASCH2410_CH03330	WP_016733060.1	-2.36217253365209
cds716	RPHASCH2410_PB01800	WP_029531961.1	-2.28871863265502
cds4742	RPHASCH2410_CH04455	WP_016737337.1	-2.35058473668552
cds1759		end_range=588453,.	-1.71090633022142
cds227	RPHASCH2410_PA01130	WP_016737069.1	-1.52760987406515
cds842	RPHASCH2410_PC00495	WP_011053469.1	-2.1380056224105
cds6411	RPHASCH2410_CH11505	WP_012482886.1	-2.0385055248218
cds1582	RPHASCH2410_PD01960	WP_016735704.1	-2.60199842689197
cds1144	RPHASCH2410_PC01940	WP_004668584.1	-3.33451454334498
cds6512	RPHASCH2410_CH12025	WP_016734544.1	-1.81386572494394
cds4699		gbkey=CDS	-1.86050163350111
cds347	RPHASCH2410_PA01730	WP_029532088.1	-2.23446938594676
cds1246	RPHASCH2410_PD00285	WP_016735415.1	-1.86000888044103
cds6477	RPHASCH2410_CH11845	WP_010019980.1	-2.15596563398958
cds4052	RPHASCH2410_CH17545	WP_016733692.1	-1.89282090123271
cds2926	RPHASCH2410_CH03325	WP_016733059.1	-1.87706079010446
cds6407	RPHASCH2410_CH11485	WP_004680461.1	-1.88408149285667
cds1691	RPHASCH2410_PD02505	WP_009998651.1	-2.01576096685344
cds605		WP_016736542.1	-1.86463360815325
cds4721	RPHASCH2410_CH04350	WP_004668738.1	-3.90654358215919
cds715	RPHASCH2410_PB01795	WP_016736636.1	-2.15082104394346
cds4890	RPHASCH2410_CH05230	WP_016736417.1	-2.3494670297192
cds4415	RPHASCH2410_CH19400	WP_010021220.1	-1.65225694522348
cds2043	RPHASCH2410_PD04255	WP_016736104.1	-2.36332709884217
cds3702	RPHASCH2410_CH15740	WP_012484945.1	-2.06507342464602
cds4723	RPHASCH2410_CH04360	WP_004668736.1	-2.87331345863897
cds1698	RPHASCH2410_PD02535	WP_016735809.1	-1.65551836865563
cds1684	RPHASCH2410_PD02465	WP_016735797.1	-1.93015745426394
cds1517	RPHASCH2410_PD01640	WP_016735645.1	-1.63170620308166
cds4353	RPHASCH2410_CH19070	WP_004672819.1	-2.21412359685264
cds4724	RPHASCH2410_CH04365	WP_029532255.1	-2.22216567049188
cds2958		WP_016733088.1	-2.04399830498479
cds733	RPHASCH2410_PB01885	WP_016736649.1	-1.83343356734685
cds1693	RPHASCH2410_PD02510	WP_016735805.1	-1.58741031994057
cds1438	RPHASCH2410_PD01235	WP_046977208.1	-2.46463332408145
cds4795	RPHASCH2410_CH04755	WP_012485365.1	-1.87049626556073
cds1367	RPHASCH2410_PD00870	WP_016735523.1	-2.34916437910758
cds4581	RPHASCH2410_CH20230	WP_016733364.1	-1.54897084844923
cds1534		WP_016735664.1	-2.43702708748826
cds4648	RPHASCH2410_CH03980	WP_016737269.1	-2.16017100939771
cds1541	RPHASCH2410_PD01760	WP_004673154.1	-2.57436900395502
cds2866		WP_004673791.1	-1.92717685896205
cds4442	RPHASCH2410_CH19540	WP_016733430.1	-3.0817932204486
cds1594	RPHASCH2410_PD02020	WP_016735716.1	-1.5216738985696
cds4053		gbkey=CDS	-1.54567870507468
cds5833	RPHASCH2410_CH08500	WP_016735026.1	-1.68557894918451
cds1697	RPHASCH2410_PD02530	WP_039751860.1	-2.17362089386428
cds6502	RPHASCH2410_CH11975	WP_012482959.1	-1.67754652111048
cds1858	RPHASCH2410_PD03335	WP_016735953.1	-1.74301814393658
cds592	RPHASCH2410_PB01195	WP_046977164.1	-1.81234872343017
cds387	RPHASCH2410_PB00175	WP_004675831.1	-2.60802488793617
cds1678		WP_004678156.1	-1.34209625961622
cds643	RPHASCH2410_PB01440	WP_004669729.1	-1.57597462804652
cds1683	RPHASCH2410_PD02460	WP_016735796.1	-1.87811271662635
cds503	RPHASCH2410_PB00750	WP_004668299.1	-1.93678465493739
cds6519	RPHASCH2410_CH12065	WP_016734537.1	-1.69838702317475
cds2044		gbkey=CDS	-1.41638350808294
cds2918	RPHASCH2410_CH03280	WP_029531199.1	-2.04153440058227
cds1593	RPHASCH2410_PD02015	WP_016735715.1	-1.99894831181095
