Geneid	Locus	ID	logFC
cds473	RPHASCH2410_PB00605	WP_016736748.1	5.5528312375971
cds472	RPHASCH2410_PB00600	WP_016736747.1	6.02762423855208
cds820	RPHASCH2410_PC00390	WP_016737490.1	6.45777160530148
cds836		WP_011053466.1	6.5739408408183
cds3244	RPHASCH2410_CH13465	WP_010035016.1	4.03088416659262
cds22	RPHASCH2410_PA00115	WP_016736931.1	4.22767653493122
cds1720	RPHASCH2410_PD02650	WP_016735831.1	3.96461241316143
cds620	RPHASCH2410_PB01325	WP_029531939.1	4.02997497428915
cds477	RPHASCH2410_PB00620	WP_012490702.1	5.19932621933811
cds4906	RPHASCH2410_CH05305	WP_012485447.1	5.86338129678062
cds2391	RPHASCH2410_CH00550	WP_008521951.1	3.41517482903702
cds4849	RPHASCH2410_CH05030	WP_004679586.1	3.34859158546465
cds1751	RPHASCH2410_PD02805	WP_016735858.1	3.77258213071259
cds621	RPHASCH2410_PB01330	WP_016736556.1	3.33321075249518
cds2916	RPHASCH2410_CH03270	WP_029531198.1	3.33147176881391
cds2880	RPHASCH2410_CH03080	WP_004673778.1	2.94718852949393
cds6383	RPHASCH2410_CH11370	WP_016734642.1	4.67695796823762
cds5882	RPHASCH2410_CH08755	WP_008524652.1	3.67743452704758
cds59	RPHASCH2410_PA00305	WP_016736894.1	3.13172901659353
cds4702	RPHASCH2410_CH04250	WP_012485284.1	3.82305405974414
cds5895	RPHASCH2410_CH08825	WP_012482410.1	2.94590482042578
cds465	RPHASCH2410_PB00565	WP_004669789.1	3.15837964640976
cds6384	RPHASCH2410_CH11375	WP_016734641.1	5.02096466033646
cds872	RPHASCH2410_PC00625	WP_004679687.1	4.8484425686507
cds1577	RPHASCH2410_PD01935	WP_016735699.1	4.20988074225121
cds3709	RPHASCH2410_CH15775	WP_016733891.1	3.16453402614934
cds2758	RPHASCH2410_CH02465	WP_008526906.1	2.92275454057921
cds23	RPHASCH2410_PA00120	WP_016736930.1	3.15599443937735
cds834	RPHASCH2410_PC00465	WP_011053464.1	3.31390192252824
cds4905	RPHASCH2410_CH05300	WP_016736403.1	4.19768268998735
cds835	RPHASCH2410_PC00470	WP_011053465.1	4.45296737078418
cds1719	RPHASCH2410_PD02645	WP_016735830.1	3.08700400895661
cds3738	RPHASCH2410_CH15920	WP_016733918.1	2.91764539246427
cds474	RPHASCH2410_PB00610	WP_046977157.1	2.30864946086073
cds5614	RPHASCH2410_CH21610	WP_016733186.1	3.08908569862944
cds619	RPHASCH2410_PB01320	WP_016736555.1	3.06158825222773
cds4739	RPHASCH2410_CH04440	WP_029532271.1	3.39638479323615
cds569	RPHASCH2410_PB01080	WP_016736513.1	2.66092696245284
cds4930		WP_016736391.1	2.41042115298181
cds4738	RPHASCH2410_CH04435	WP_016737333.1	3.60568604192621
cds2678	RPHASCH2410_CH02035	WP_004678838.1	2.44357243868196
cds430	RPHASCH2410_PB00390	WP_029531978.1	3.14113560572494
cds4730	RPHASCH2410_CH04395	WP_016737327.1	2.3186328656137
cds626	RPHASCH2410_PB01355	WP_016736558.1	2.52138242344102
cds4645	RPHASCH2410_CH03965	WP_003585885.1	2.25045531997326
cds4419	RPHASCH2410_CH19415	WP_012484275.1	2.53178695142457
cds625	RPHASCH2410_PB01350	WP_012490473.1	2.55919396594384
cds4899	RPHASCH2410_CH05270	WP_016736406.1	2.03156338082744
cds623	RPHASCH2410_PB01340	WP_012490471.1	2.1525672166141
cds4731	RPHASCH2410_CH04400	WP_016737328.1	2.74130169580897
cds5628	RPHASCH2410_CH21680	WP_004676212.1	3.0020506615784
cds5938	RPHASCH2410_CH09040	WP_029531659.1	2.27329172592204
cds689	RPHASCH2410_PB01665	WP_016736613.1	2.93156958441801
cds2677	RPHASCH2410_CH02030	WP_004678841.1	2.201439170626
cds4607	RPHASCH2410_CH03780	WP_020465417.1	2.29109389682088
cds4527	RPHASCH2410_CH19960	WP_016733499.1	2.13203900586331
cds2850		gbkey=CDS	2.22279931481195
cds821	RPHASCH2410_PC00395	WP_011053454.1	2.82936842024055
cds570	RPHASCH2410_PB01085	WP_016736514.1	2.309499822022
cds1567	RPHASCH2410_PD01890	WP_016735691.1	3.31941316641335
cds1317	RPHASCH2410_PD00630	WP_029531734.1	1.91507581929202
cds2390	RPHASCH2410_CH00545	WP_009998001.1	2.71406384904878
cds4703	RPHASCH2410_CH04255	WP_012485285.1	2.66693699400112
cds6491	RPHASCH2410_CH11925	WP_016734564.1	2.12181371204041
cds4788	RPHASCH2410_CH04720	WP_004671807.1	1.79233675039616
cds827		WP_010022281.1	3.83496438817378
cds380	RPHASCH2410_PB00140	WP_004678031.1	2.17577176655068
cds622	RPHASCH2410_PB01335	WP_016736557.1	2.56849729288692
cds4601	RPHASCH2410_CH03745	WP_016737238.1	2.16559086893184
cds381	RPHASCH2410_PB00145	WP_016736680.1	1.70464004541626
cds4692	RPHASCH2410_CH04200	WP_016737305.1	1.76480553653005
cds253	RPHASCH2410_PA01255	WP_016737045.1	2.66582230908607
cds1580	RPHASCH2410_PD01950	WP_016735702.1	1.93954887064413
cds4598	RPHASCH2410_CH03725	WP_016737236.1	1.78478360255602
cds1722	RPHASCH2410_PD02660	WP_029531791.1	1.89763648341637
cds60	RPHASCH2410_PA00310	WP_016736893.1	1.9174444901589
cds4679	RPHASCH2410_CH04135	WP_029532244.1	1.7347835945965
cds3740	RPHASCH2410_CH15930	WP_004673032.1	2.15945871905691
cds3710	RPHASCH2410_CH15780	WP_080956157.1	3.15538208017162
cds2681	RPHASCH2410_CH02060	WP_004678834.1	2.22728531306292
cds150	RPHASCH2410_PA00765	WP_029532030.1	2.50611651897188
cds2853	RPHASCH2410_CH02940	WP_016733006.1	1.88584872363149
cds4312	RPHASCH2410_CH18860	WP_016733560.1	1.64407247761397
cds21	RPHASCH2410_PA00110	WP_016736932.1	4.73865459553994
cds838	RPHASCH2410_PC00485	WP_010025697.1	2.01617042654993
cds618	RPHASCH2410_PB01315	WP_016736554.1	2.03278256859612
cds5858	RPHASCH2410_CH08630	WP_016735006.1	1.91675328626009
cds1753	RPHASCH2410_PD02815	WP_016735860.1	2.31191624696405
cds1663	RPHASCH2410_PD02360	WP_012489932.1	2.44471210264796
cds1566	RPHASCH2410_PD01885	WP_004673596.1	2.67962978339825
cds566	RPHASCH2410_PB01065	WP_029531919.1	1.68419926923067
cds4693	RPHASCH2410_CH04205	WP_012485276.1	2.35143428313545
cds279	RPHASCH2410_PA01390	WP_004670822.1	2.7042505487959
cds254	RPHASCH2410_PA01260	WP_016737044.1	2.42676950882205
cds1211	RPHASCH2410_PD00105	WP_016735380.1	1.61964507712442
cds833	RPHASCH2410_PC00460	WP_011053463.1	2.51802869224349
cds2481	RPHASCH2410_CH01040	WP_004669067.1	1.90857307984804
cds2854	RPHASCH2410_CH02945	WP_012483752.1	1.95880725264862
cds2851	RPHASCH2410_CH02930	WP_012483749.1	2.06067123151896
cds5613	RPHASCH2410_CH21605	WP_016733185.1	1.81591913724099
cds690	RPHASCH2410_PB01670	WP_016736614.1	1.975066332756
cds4418		WP_010024558.1	3.59927944431942
cds4784	RPHASCH2410_CH04700	WP_012485357.1	1.96451417364162
cds4434	RPHASCH2410_CH19490	WP_029531346.1	1.5662590161521
