ProteinID	Locus_tag	NCBI_name	Regulondb_name	Abasy_name	Ecocyc_name	Synonyms	RegulondbID	EC_product
NP_414542.1	b0001	thrL	thrL	thrL	thrL		ECK120001251	thr operon leader peptide
NP_414543.1	b0002	thrA	thrA	thrA	thrA	thrA2 // Hs // thrA1 // thrD	ECK120000987	fused aspartate kinase/homoserine dehydrogenase 1
NP_414544.1	b0003	thrB	thrB	thrB	thrB		ECK120000988	homoserine kinase
NP_414545.1	b0004	thrC	thrC	thrC	thrC		ECK120000989	threonine synthase
NP_414546.1	b0005	yaaX	yaaX	NA	yaaX		ECK120002701	DUF2502 domain-containing protein YaaX
NP_414547.1	b0006	yaaA	yaaA	NA	yaaA		ECK120000009	peroxide stress resistance protein YaaA
NP_414548.1	b0007	yaaJ	yaaJ	NA	yaaJ		ECK120001508	putative transporter YaaJ
NP_414549.1	b0008	talB	talB	NA	talB	yaaK	ECK120001509	transaldolase B
NP_414550.1	b0009	mog	mog	NA	mog	yaaG // bisD // chlG // mogA	ECK120001467	molybdopterin adenylyltransferase
NP_414551.1	b0010	satP	satP	NA	satP	yaaH	ECK120001468	acetate/succinate:H(+) symporter
NP_414552.1	b0011	yaaW	yaaW	NA	yaaW		ECK120002702	putative enzyme-specific chaperone YaaW
YP_009518733.1	b0012	mbiA	mbiA	NA	mbiA	htpY // htgA	ECK120001465	uncharacterized protein MbiA
NP_414554.1	b0013	yaaI	yaaI	NA	yaaI		ECK120004453	DUF2541 domain-containing protein YaaI
NP_414555.1	b0014	dnaK	dnaK	dnaK	dnaK	groPF // groPC // seg // grpF // grpC // groPAB	ECK120000235	chaperone protein DnaK
NP_414556.1	b0015	dnaJ	dnaJ	dnaJ	dnaJ	groP // grpC	ECK120000234	chaperone protein DnaJ
NP_414557.1	b0016	insL1	insL1	NA	insL1	yi81-1	ECK120002703	IS186/IS421 transposase
NP_414559.1	b0018	mokC	mokC	NA	mokC	gefL	ECK120000366	regulatory protein MokC
NP_414560.1	b0019	nhaA	nhaA	nhaA	nhaA	ant // antA	ECK120000645	Na(+):H(+) antiporter NhaA
NP_414561.1	b0020	nhaR	nhaR	nhaR	nhaR	antO // yaaB	ECK120001066	DNA-binding transcriptional activator NhaR
NP_414562.1	b0021	insB1	insB1	NA	insB1		ECK120002705	IS1 protein InsB
NP_414563.1	b0022	insA1	insA1	NA	insA1		ECK120002706	IS1 protein InsA
NP_414564.1	b0023	rpsT	rpsT	NA	rpsT	supS // sup(s20) // supS20	ECK120000910	30S ribosomal subunit protein S20
NP_414565.1	b0024	yaaY	yaaY	NA	yaaY		ECK120002707	DUF2575 domain-containing protein YaaY
