qName	sName	peri	alilen	numMM	nnGP	qSS	qSE	sSS	sSE	Evalue	bitScore	qlen	coveragePercent
gnl|RZaadb|12|WP_003544934.1	gnl|ECaadb|824	49.45	91	46	0	1	91	1	91	3e-29	98.2	99	91.9191919191919
gnl|RZaadb|16|WP_003547190.1	gnl|ECaadb|369	42.18	147	85	0	1	147	1	147	3e-35	117	158	93.0379746835443
gnl|RZaadb|17|WP_003547346.1	gnl|ECaadb|3559	48.31	89	46	0	1	89	1	89	2e-23	82.4	91	97.8021978021978
gnl|RZaadb|241|WP_004672768.1	gnl|ECaadb|355	49.33	223	113	0	1	223	1	223	4e-73	219	227	98.2378854625551
gnl|RZaadb|345|WP_004674538.1	gnl|ECaadb|2580	34.33	300	183	6	6	298	4	296	2e-54	178	336	87.2023809523809
gnl|RZaadb|524|WP_004678031.1	gnl|ECaadb|3737	32.03	256	164	4	1	253	1	249	5e-42	141	270	93.7037037037037
gnl|RZaadb|545|WP_004678404.1	gnl|ECaadb|403	52.32	151	71	1	1	150	2	152	9e-51	157	162	92.5925925925926
gnl|RZaadb|548|WP_004678499.1	gnl|ECaadb|442	44.88	127	69	1	1	126	1	127	8e-30	102	129	97.6744186046512
gnl|RZaadb|642|WP_004680351.1	gnl|ECaadb|4182	33.67	300	196	2	2	301	4	300	1e-53	176	332	90.3614457831325
gnl|RZaadb|772|WP_010004259.1	gnl|ECaadb|610	43.33	120	67	1	16	134	12	131	6e-31	105	142	83.8028169014084
gnl|RZaadb|815|WP_010014366.1	gnl|ECaadb|3073	46.35	233	122	3	5	236	2	232	4e-67	204	241	96.2655601659751
gnl|RZaadb|930|WP_010025457.1	gnl|ECaadb|1015	30.1	196	135	2	4	198	10	204	2e-19	79.7	205	95.1219512195122
gnl|RZaadb|942|WP_010025738.1	gnl|ECaadb|1836	41.25	80	47	0	1	80	1	80	6e-18	68.6	83	96.3855421686747
gnl|RZaadb|995|WP_011424096.1	gnl|ECaadb|3724	40.97	144	78	4	1	142	1	139	2e-29	102	160	88.75
gnl|RZaadb|1060|WP_012482404.1	gnl|ECaadb|3333	34.39	474	283	10	40	508	5	455	3e-83	263	516	90.8914728682171
gnl|RZaadb|1129|WP_012482798.1	gnl|ECaadb|2090	33.7	270	179	0	5	274	11	280	1e-43	149	318	84.9056603773585
gnl|RZaadb|1164|WP_012483077.1	gnl|ECaadb|278	34.78	184	116	2	1	181	6	188	6e-23	88.6	206	87.8640776699029
gnl|RZaadb|1178|WP_012483203.1	gnl|ECaadb|1034	42.66	218	121	1	1	214	1	218	3e-53	168	223	95.9641255605381
