qName	sName	peri	alilen	numMM	nnGP	qSS	qSE	sSS	sSE	Evalue	bitScore	qlen	coveragePercent
gnl|ECaadb|2|NP_414543.1	gnl|RZaadb|190	29.96	474	250	16	3	456	5	416	2e-37	143	820	55.3658536585366
gnl|ECaadb|4|NP_414545.1	gnl|RZaadb|3030	33.88	425	244	9	13	402	16	438	9e-67	218	428	91.1214953271028
gnl|ECaadb|8|NP_414549.1	gnl|RZaadb|103	59.74	313	125	1	1	313	1	312	4e-129	368	317	98.7381703470031
gnl|ECaadb|9|NP_414550.1	gnl|RZaadb|3088	30.19	106	73	1	46	150	51	156	3e-11	57.4	195	53.8461538461538
gnl|ECaadb|13|NP_414555.1	gnl|RZaadb|228	68.33	600	183	3	1	598	1	595	0	811	638	93.730407523511
gnl|ECaadb|14|NP_414556.1	gnl|RZaadb|229	52.65	378	169	3	1	372	1	374	8e-102	303	376	98.936170212766
gnl|ECaadb|18|NP_414561.1	gnl|RZaadb|5713	27.89	147	105	1	4	149	4	150	6e-13	65.5	301	48.5049833887043
gnl|ECaadb|21|NP_414564.1	gnl|RZaadb|672	40.23	87	52	0	1	87	1	87	6e-14	58.9	87	100
gnl|ECaadb|23|NP_414566.1	gnl|RZaadb|5508	37.58	298	184	2	17	312	19	316	2e-54	177	313	94.5686900958466
gnl|ECaadb|24|NP_414567.1	gnl|RZaadb|5507	41.28	981	483	24	3	923	9	956	0	674	938	98.1876332622601
gnl|ECaadb|25|NP_414568.1	gnl|RZaadb|3336	40.28	144	82	2	21	163	27	167	6e-28	99.8	164	87.1951219512195
gnl|ECaadb|27|NP_414570.1	gnl|RZaadb|3036	47.6	313	158	3	1	309	9	319	1e-90	271	316	97.7848101265823
gnl|ECaadb|28|NP_414571.1	gnl|RZaadb|2087	39.93	278	157	7	5	273	4	280	3e-44	150	304	88.4868421052632
gnl|ECaadb|29|NP_414572.1	gnl|RZaadb|3463	44.09	279	143	3	1	272	1	273	2e-66	206	273	99.6336996336996
gnl|ECaadb|30|NP_414573.1	gnl|RZaadb|1401	51.04	384	176	5	4	378	13	393	2e-129	375	382	98.1675392670157
gnl|ECaadb|31|NP_414574.1	gnl|RZaadb|2352	59.98	1137	359	12	1	1044	1	1134	0	1303	1073	97.2972972972973
gnl|ECaadb|33|NP_414577.2	gnl|RZaadb|2215	36.02	161	101	1	1	159	1	161	1e-25	95.1	196	81.1224489795918
gnl|ECaadb|34|NP_414578.2	gnl|RZaadb|5771	51.15	260	126	1	1	260	1	259	8e-72	218	261	99.6168582375479
gnl|ECaadb|35|NP_414579.4	gnl|RZaadb|3288	27.8	518	321	12	39	517	62	565	6e-50	177	517	92.6499032882012
gnl|ECaadb|36|NP_414580.1	gnl|RZaadb|2311	31.43	280	174	4	6	270	5	281	3e-30	117	405	65.4320987654321
gnl|ECaadb|37|NP_414581.1	gnl|RZaadb|4947	31.61	386	251	7	1	377	1	382	2e-52	176	380	99.2105263157895
gnl|ECaadb|39|NP_414583.2	gnl|RZaadb|552	30	220	144	5	1	213	1	217	1e-15	72	256	83.203125
gnl|ECaadb|40|NP_414584.1	gnl|RZaadb|729	45.53	123	66	1	186	308	231	352	7e-32	119	313	39.297124600639
gnl|ECaadb|41|NP_414585.1	gnl|RZaadb|728	38.61	404	237	7	1	396	1	401	4e-82	256	428	92.5233644859813
gnl|ECaadb|42|NP_414586.1	gnl|RZaadb|551	42.11	95	54	1	2	95	5	99	1e-20	76.6	95	98.9473684210526
gnl|ECaadb|43|NP_414587.1	gnl|RZaadb|2442	24.46	417	302	4	28	433	46	460	1e-25	106	443	91.647855530474
gnl|ECaadb|44|NP_414588.1	gnl|RZaadb|3410	29.32	133	69	5	2	109	3	135	3e-08	48.5	176	61.3636363636364
gnl|ECaadb|45|NP_414589.1	gnl|RZaadb|3102	39.41	543	324	4	8	549	10	548	2e-93	297	620	87.4193548387097
gnl|ECaadb|46|NP_414590.1	gnl|RZaadb|6097	36.5	137	73	4	3	125	15	151	1e-21	84.7	159	77.3584905660377
gnl|ECaadb|47|NP_414591.1	gnl|RZaadb|2493	25.75	167	89	5	2	135	37	201	9e-07	46.2	280	47.8571428571429
gnl|ECaadb|48|NP_414592.1	gnl|RZaadb|474	45.3	117	64	0	9	125	11	127	1e-26	94	125	93.6
gnl|ECaadb|49|NP_414593.1	gnl|RZaadb|2790	35.85	265	159	6	6	264	16	275	4e-43	145	273	94.8717948717949
gnl|ECaadb|50|NP_414594.1	gnl|RZaadb|1197	38.91	329	193	4	4	324	6	334	6e-68	214	329	97.5683890577508
gnl|ECaadb|51|NP_414595.1	gnl|RZaadb|188	34.72	144	77	7	284	425	136	264	1e-12	65.5	428	33.1775700934579
gnl|ECaadb|51|NP_414595.1	gnl|RZaadb|188	26.09	276	143	11	5	274	6	226	9e-11	59.7	428	63.0841121495327
gnl|ECaadb|52|NP_414596.1	gnl|RZaadb|2789	25.42	295	193	9	71	352	73	353	3e-17	83.6	784	35.969387755102
gnl|ECaadb|53|NP_414597.1	gnl|RZaadb|2301	24.2	219	142	1	50	268	38	232	1e-15	71.6	271	80.8118081180812
gnl|ECaadb|54|NP_414600.1	gnl|RZaadb|1298	35.81	215	122	6	15	216	95	306	3e-29	109	219	92.2374429223744
gnl|ECaadb|55|NP_414601.1	gnl|RZaadb|4447	36.79	193	115	5	147	336	26	214	2e-18	88.6	968	19.6280991735537
gnl|ECaadb|55|NP_414601.1	gnl|RZaadb|4447	42.62	61	34	1	559	619	506	565	9e-10	60.1	968	6.30165289256198
gnl|ECaadb|59|NP_414605.1	gnl|RZaadb|5281	28.29	562	331	24	5	542	16	529	6e-28	115	566	95.0530035335689
gnl|ECaadb|60|NP_414606.1	gnl|RZaadb|2147	24.22	256	149	8	42	278	37	266	1e-11	60.8	292	81.1643835616438
gnl|ECaadb|61|NP_414607.1	gnl|RZaadb|4625	29.68	155	93	4	15	167	10	150	1e-08	51.2	254	60.2362204724409
gnl|ECaadb|62|NP_414608.1	gnl|RZaadb|4829	41.41	198	116	0	19	216	25	222	6e-45	151	232	85.3448275862069
gnl|ECaadb|63|NP_414609.1	gnl|RZaadb|4617	26.58	222	156	3	43	260	51	269	1e-16	78.2	536	40.6716417910448
gnl|ECaadb|65|NP_414611.1	gnl|RZaadb|5906	26.06	165	105	3	149	301	60	219	3e-11	62.8	551	27.7676950998185
gnl|ECaadb|66|NP_414613.1	gnl|RZaadb|5674	50.25	197	95	3	3	198	2	196	1e-66	201	201	97.5124378109453
gnl|ECaadb|67|NP_414614.1	gnl|RZaadb|4366	66.67	462	153	1	3	463	5	466	0	624	466	98.9270386266094
gnl|ECaadb|68|NP_414615.4	gnl|RZaadb|919	49.72	360	168	7	6	355	5	361	4e-105	311	363	96.4187327823691
gnl|ECaadb|69|NP_414616.1	gnl|RZaadb|2807	27.51	527	338	17	1	493	1	517	6e-38	144	523	94.263862332696
gnl|ECaadb|71|NP_414618.4	gnl|RZaadb|512	28.2	305	205	5	18	314	2	300	9e-34	123	314	94.5859872611465
gnl|ECaadb|72|NP_414620.1	gnl|RZaadb|481	44.58	166	83	4	5	162	26	190	1e-38	127	163	96.9325153374233
gnl|ECaadb|73|NP_414622.1	gnl|RZaadb|2444	25.16	306	214	6	5	304	18	314	3e-20	87.8	334	89.8203592814371
gnl|ECaadb|74|NP_414623.1	gnl|RZaadb|936	27.93	111	80	0	10	120	16	126	9e-15	64.7	152	73.0263157894737
gnl|ECaadb|75|NP_414624.1	gnl|RZaadb|1385	44.73	313	152	8	6	311	18	316	3e-68	214	313	97.7635782747604
gnl|ECaadb|77|NP_414626.1	gnl|RZaadb|1383	29.49	512	317	15	70	565	89	572	4e-53	188	588	84.3537414965986
gnl|ECaadb|78|NP_414627.1	gnl|RZaadb|5857	35.88	510	274	14	5	491	2	481	2e-64	214	495	98.3838383838384
gnl|ECaadb|79|NP_414628.1	gnl|RZaadb|2298	35.06	445	262	10	24	446	26	465	5e-56	190	452	93.5840707964602
gnl|ECaadb|80|NP_414629.1	gnl|RZaadb|112	50.27	368	173	4	1	360	1	366	8e-104	307	360	100
gnl|ECaadb|81|NP_414630.1	gnl|RZaadb|1382	33.26	457	255	14	7	430	10	449	2e-38	142	438	96.8036529680365
gnl|ECaadb|82|NP_414631.1	gnl|RZaadb|111	29.2	363	247	5	45	407	18	370	1e-28	113	414	87.6811594202899
gnl|ECaadb|83|NP_414632.1	gnl|RZaadb|1381	35.56	360	214	9	8	353	6	361	1e-42	149	355	97.4647887323944
gnl|ECaadb|84|NP_414633.1	gnl|RZaadb|1380	43.38	461	243	6	22	475	10	459	9e-98	300	491	92.4643584521385
gnl|ECaadb|85|NP_414634.1	gnl|RZaadb|2297	38.51	309	174	4	4	305	5	304	4e-61	194	306	98.6928104575163
gnl|ECaadb|86|NP_414635.1	gnl|RZaadb|2296	24.32	185	127	6	78	258	111	286	3e-06	44.7	276	65.5797101449275
gnl|ECaadb|87|NP_414636.1	gnl|RZaadb|109	29.72	424	274	5	13	420	28	443	5e-64	209	420	97.1428571428571
gnl|ECaadb|88|NP_414637.1	gnl|RZaadb|1346	49.33	298	151	0	24	321	26	323	1e-68	217	383	77.8067885117493
gnl|ECaadb|89|NP_414638.1	gnl|RZaadb|108	44.21	285	154	4	4	285	9	291	5e-83	251	305	92.4590163934426
gnl|ECaadb|91|NP_414640.1	gnl|RZaadb|4482	52.25	911	400	10	8	901	10	902	0	926	901	99.2230854605993
gnl|ECaadb|92|NP_414641.1	gnl|RZaadb|1527	36.36	132	78	2	2	129	12	141	5e-22	82.4	129	99.2248062015504
gnl|ECaadb|93|NP_414643.1	gnl|RZaadb|3239	36.84	57	32	1	6	62	17	69	6e-06	37	65	87.6923076923077
gnl|ECaadb|95|NP_414645.1	gnl|RZaadb|1012	30.29	175	115	3	5	176	4	174	4e-18	76.3	206	83.495145631068
gnl|ECaadb|96|NP_414646.1	gnl|RZaadb|1126	36.68	259	148	5	90	336	213	467	4e-41	147	347	71.1815561959654
gnl|ECaadb|98|NP_414649.1	gnl|RZaadb|5296	32.89	152	81	8	218	350	252	401	1e-09	57.4	461	28.8503253796095
gnl|ECaadb|100|NP_414651.1	gnl|RZaadb|1673	42.28	272	150	4	27	296	15	281	2e-50	166	297	90.9090909090909
gnl|ECaadb|101|NP_414652.1	gnl|RZaadb|5377	32.14	168	93	3	9	172	9	159	7e-22	86.7	183	89.6174863387978
gnl|ECaadb|103|NP_414654.1	gnl|RZaadb|4665	36.28	430	262	4	3	420	12	441	2e-70	229	457	91.4660831509847
gnl|ECaadb|104|NP_414655.1	gnl|RZaadb|1828	34.7	219	134	6	10	225	10	222	3e-18	78.6	254	85.0393700787402
gnl|ECaadb|105|NP_414656.1	gnl|RZaadb|2032	25.89	224	138	7	77	293	5	207	6e-09	55.5	887	24.4644870349493
gnl|ECaadb|106|NP_414657.1	gnl|RZaadb|4784	34.7	415	250	4	210	622	7	402	1e-65	218	630	65.5555555555556
gnl|ECaadb|106|NP_414657.1	gnl|RZaadb|4784	35.94	64	39	1	108	169	6	69	9e-06	45.8	630	9.84126984126984
gnl|ECaadb|106|NP_414657.1	gnl|RZaadb|4784	40.32	62	35	1	5	64	6	67	2e-05	45.1	630	9.52380952380952
gnl|ECaadb|107|NP_414658.1	gnl|RZaadb|4414	41.1	455	260	7	9	456	5	458	1e-98	301	474	94.5147679324894
gnl|ECaadb|108|NP_414659.1	gnl|RZaadb|3530	30.65	186	92	5	71	256	48	196	4e-17	81.6	617	30.1458670988655
gnl|ECaadb|109|NP_414660.1	gnl|RZaadb|4366	34.34	99	63	2	702	798	342	440	6e-09	56.6	865	11.2138728323699
gnl|ECaadb|114|NP_414665.1	gnl|RZaadb|5449	28.85	305	173	14	1	291	4	278	2e-18	85.1	516	56.3953488372093
gnl|ECaadb|114|NP_414665.1	gnl|RZaadb|5449	32.86	70	37	4	443	510	395	456	3e-04	40.8	516	13.1782945736434
gnl|ECaadb|115|NP_414666.1	gnl|RZaadb|2904	47.52	766	373	11	40	792	30	779	0	666	796	94.5979899497487
gnl|ECaadb|116|NP_414667.4	gnl|RZaadb|164	38.73	173	99	3	4	173	8	176	5e-40	131	178	95.5056179775281
gnl|ECaadb|117|NP_414668.1	gnl|RZaadb|954	31.46	178	111	6	24	192	21	196	8e-10	54.3	220	76.8181818181818
gnl|ECaadb|118|NP_414669.1	gnl|RZaadb|2074	44.05	311	156	5	1	300	1	304	7e-80	242	308	97.4025974025974
gnl|ECaadb|119|NP_414670.1	gnl|RZaadb|546	42.17	230	133	0	8	237	5	234	1e-49	161	256	89.84375
gnl|ECaadb|120|NP_414671.1	gnl|RZaadb|227	31.43	105	69	2	1	104	1	103	2e-08	47.8	146	71.2328767123288
gnl|ECaadb|121|NP_414672.1	gnl|RZaadb|2468	23.46	243	165	6	168	403	759	987	1e-09	57.8	409	57.7017114914425
gnl|ECaadb|124|NP_414675.1	gnl|RZaadb|3647	46.3	270	126	5	20	280	20	279	2e-75	229	283	92.226148409894
gnl|ECaadb|125|NP_414676.1	gnl|RZaadb|3648	36.6	265	161	4	1	263	10	269	1e-43	147	264	99.6212121212121
gnl|ECaadb|133|NP_414684.1	gnl|RZaadb|1309	44.78	134	73	1	4	137	9	141	4e-34	115	159	84.2767295597484
gnl|ECaadb|134|NP_414685.4	gnl|RZaadb|2386	29.19	209	130	6	79	282	54	249	4e-10	58.9	465	43.8709677419355
gnl|ECaadb|135|NP_414686.3	gnl|RZaadb|5136	31.06	264	155	6	11	248	1	263	2e-29	114	308	77.2727272727273
gnl|ECaadb|136|NP_414687.1	gnl|RZaadb|673	48.74	119	61	0	29	147	16	134	1e-26	95.1	151	78.8079470198676
gnl|ECaadb|138|NP_414689.4	gnl|RZaadb|467	28.35	127	85	4	6	130	3	125	3e-07	45.8	176	71.0227272727273
gnl|ECaadb|139|NP_414690.4	gnl|RZaadb|1030	44.61	816	437	9	1	806	7	817	0	551	809	99.6291718170581
gnl|ECaadb|140|NP_414691.1	gnl|RZaadb|3484	34.45	508	307	13	227	732	148	631	6e-66	232	844	59.9526066350711
gnl|ECaadb|141|NP_414692.1	gnl|RZaadb|4130	31.49	759	453	22	9	747	13	724	2e-90	296	747	98.9290495314592
gnl|ECaadb|142|NP_414693.1	gnl|RZaadb|1655	56.42	257	112	0	8	264	2	258	4e-107	308	265	96.9811320754717
gnl|ECaadb|143|NP_414694.1	gnl|RZaadb|4125	28.86	246	168	4	53	291	30	275	1e-33	121	296	80.7432432432432
gnl|ECaadb|144|NP_414695.1	gnl|RZaadb|4126	39.77	621	350	8	50	658	45	653	4e-84	275	660	92.2727272727273
gnl|ECaadb|145|NP_414696.1	gnl|RZaadb|3536	33.44	311	175	10	28	317	17	316	7e-35	131	426	68.075117370892
gnl|ECaadb|146|NP_414697.1	gnl|RZaadb|4921	29.25	147	94	3	310	456	305	441	6e-09	55.5	473	31.0782241014799
gnl|ECaadb|147|NP_414698.1	gnl|RZaadb|324	45.12	82	45	0	33	114	29	110	2e-21	79.3	114	71.9298245614035
gnl|ECaadb|148|NP_414699.1	gnl|RZaadb|3503	36.14	202	121	3	2	200	3	199	9e-21	83.6	207	96.1352657004831
gnl|ECaadb|149|NP_414700.1	gnl|RZaadb|2026	26.49	185	121	8	46	216	83	266	4e-07	47.8	266	64.2857142857143
gnl|ECaadb|150|NP_414701.1	gnl|RZaadb|3393	27.14	210	125	7	31	232	19	208	4e-11	58.2	232	87.0689655172414
