riType	tfName	tgName	riEvidence	tgLocusTag	tgCopLocusTag
tf-gene	AcrR	puuA	S	b1297	b1297
tf-gene	ArcA	acpP	S	b1094	b1088
tf-gene	ArcA	aldA	S	b1415	b1415
tf-gene	ArcA	arcA	S	b4401	b4401
tf-gene	ArcA	argR	S	b3237	b3237
tf-gene	ArcA	argT	C	b2310	b2310
tf-gene	ArcA	carA	S	b0032	b0032
tf-gene	ArcA	cycA	S	b4208	b4208
tf-gene	ArcA	cydA	S	b0733	b0733
tf-gene	ArcA	cyoA	C	b0432	b0432
tf-gene	ArcA	cyoA	S	b0432	b0432
tf-gene	ArcA	dcuA	S	b4138	b4139
tf-gene	ArcA	dcuB	S	b4123	b4123
tf-gene	ArcA	dppA	S	b3544	b3544
tf-gene	ArcA	fadE	S	b0221	b0221
tf-gene	ArcA	feoA	S	b3408	b3408
tf-gene	ArcA	focA	S	b0904	b0904
tf-gene	ArcA	folE	S	b2153	b2153
tf-gene	ArcA	fumA	S	b1612	b1612
tf-gene	ArcA	gcvB	S	b4443	b4443
tf-gene	ArcA	glaH	S	b2659	b2659
tf-gene	ArcA	glcC	C	b2980	b2980
tf-gene	ArcA	glpD	S	b3426	b3426
tf-gene	ArcA	glpE	S	b3425	b3425
tf-gene	ArcA	igaA	S	b3398	b3398
tf-gene	ArcA	kdpA	S	b0698	b4513
tf-gene	ArcA	manA	S	b1613	b1613
tf-gene	ArcA	mdh	S	b3236	b3236
tf-gene	ArcA	micF	C	b4439	b4439
tf-gene	ArcA	micF	S	b4439	b4439
tf-gene	ArcA	msrB	S	b1778	b1778
tf-gene	ArcA	nudE	S	b3397	b3397
tf-gene	ArcA	nupC	S	b2393	b2393
tf-gene	ArcA	oppA	S	b1243	b1243
tf-gene	ArcA	osmY	S	b4376	b4376
tf-gene	ArcA	pepN	S	b0932	b0932
tf-gene	ArcA	phoH	S	b1020	b1020
tf-gene	ArcA	pldA	S	b3821	b3821
tf-gene	ArcA	pncB	S	b0931	b0931
tf-gene	ArcA	pntA	S	b1603	b1603
tf-gene	ArcA	potF	S	b0854	b0854
tf-gene	ArcA	pqqU	S	b1451	b1451
tf-gene	ArcA	putA	S	b1014	b1014
tf-gene	ArcA	putP	S	b1015	b1015
tf-gene	ArcA	puuA	S	b1297	b1297
tf-gene	ArcA	puuD	S	b1298	b1298
tf-gene	ArcA	pyrS	S	b2380	b2380
tf-gene	ArcA	rho	S	b3783	b3782
tf-gene	ArcA	rstA	S	b1608	b1608
tf-gene	ArcA	sstT	S	b3089	b3089
tf-gene	ArcA	sthA	S	b3962	b3962
tf-gene	ArcA	thiC	S	b3994	b3994
tf-gene	ArcA	thrA	S	b0002	b0001
tf-gene	ArcA	tpx	S	b1324	b1324
tf-gene	ArcA	xthA	S	b1749	b1749
tf-gene	ArcA	ybfA	S	b0699	b0699
tf-gene	ArcA	ybiU	S	b0821	b0821
tf-gene	ArcA	ydgC	S	b1607	b1607
tf-gene	ArcA	yeiQ	S	b2172	b2172
tf-gene	ArcA	yejG	C	b2181	b2181
tf-gene	ArcA	yejG	S	b2181	b2181
tf-gene	ArcA	yieE	S	b3712	b3712
tf-gene	ArcA	yigI	S	b3820	b3820
tf-gene	ArcA	yjiR	S	b4340	b4340
tf-gene	ArcA	yncE	S	b1452	b1452
tf-gene	ArgR	aroK	S	b3390	b3390
tf-gene	ArgR	aroP	S	b0112	b0112
tf-gene	ArgR	cvpA	S	b2313	b2313
tf-gene	ArgR	dacC	S	b0839	b0839
tf-gene	ArgR	dps	S	b0812	b0812
tf-gene	ArgR	eutS	S	b2462	b2462
tf-gene	ArgR	ftsZ	S	b0095	b0081
tf-gene	ArgR	gltB	S	b3212	b3212
tf-gene	ArgR	gltP	S	b4077	b4077
tf-gene	ArgR	hchA	S	b1967	b1967
tf-gene	ArgR	hisL	S	b2018	b2018
tf-gene	ArgR	lrp	S	b0889	b0889
tf-gene	ArgR	mcaS	S	b4426	b4426
tf-gene	ArgR	mukE	S	b0923	b0921
tf-gene	ArgR	pfkB	S	b1723	b1723
tf-gene	ArgR	potF	S	b0854	b0854
tf-gene	ArgR	puuB	S	b1301	b1298
tf-gene	ArgR	pyrL	S	b4246	b4246
tf-gene	ArgR	stpA	S	b2669	b2669
tf-gene	ArgR	waaA	S	b3633	b3633
tf-gene	ArgR	yaaU	S	b0045	b0045
tf-gene	ArgR	ydgI	S	b1605	b1605
tf-gene	ArgR	yfcC	S	b2298	b2298
tf-gene	ArgR	yffB	S	b2471	b2471
tf-gene	ArgR	ykgA	S	b0300	b0300
tf-gene	ArgR	yraQ	S	b3151	b3151
tf-gene	BolA	fimH	W	b4320	b4314
tf-gene	CpxR	acs	S	b4069	b4069
tf-gene	CpxR	ampH	S	b0376	b0376
tf-gene	CpxR	appC	W	b0978	b0978
tf-gene	CpxR	ascF	W	b2715	b2715
tf-gene	CpxR	astC	W	b1748	b1748
tf-gene	CpxR	atpB	S	b3738	b3739
tf-gene	CpxR	atpI	S	b3739	b3739
tf-gene	CpxR	btsT	S	b4354	b4354
tf-gene	CpxR	casA	W	b2760	b2760
tf-gene	CpxR	cbl	W	b1987	b1987
tf-gene	CpxR	chaA	S	b1216	b1216
tf-gene	CpxR	chaB	S	b1217	b1217
tf-gene	CpxR	cspA	W	b3556	b3556
tf-gene	CpxR	dgt	W	b0160	b0160
tf-gene	CpxR	dsbG	W	b0604	b0604
tf-gene	CpxR	eamA	W	b1533	b1533
tf-gene	CpxR	edd	W	b1851	b1851
tf-gene	CpxR	epmB	W	b4146	b4146
tf-gene	CpxR	ettA	W	b4391	b4391
tf-gene	CpxR	exbB	W	b3006	b3006
tf-gene	CpxR	fadE	?	b0221	b0221
tf-gene	CpxR	fadI	W	b2342	b2342
tf-gene	CpxR	fdnG	S	b1474	b1474
tf-gene	CpxR	feaR	W	b1384	b1384
tf-gene	CpxR	fimB	W	b4312	b4312
tf-gene	CpxR	focA	W	b0904	b0904
tf-gene	CpxR	frc	W	b2374	b2375
tf-gene	CpxR	frmB	?	b0355	b0357
tf-gene	CpxR	galP	W	b2943	b2943
tf-gene	CpxR	gapC	W	b4493	b4493
tf-gene	CpxR	glsA	W	b0485	b0485
tf-gene	CpxR	gmhA	W	b0222	b0222
tf-gene	CpxR	gpmM	W	b3612	b3612
tf-gene	CpxR	gstA	W	b1635	b1635
tf-gene	CpxR	hcp	W	b0873	b0873
tf-gene	CpxR	inaA	W	b2237	b2237
tf-gene	CpxR	matA	W	b0294	b0294
tf-gene	CpxR	metC	W	b3008	b3008
tf-gene	CpxR	mtn	W	b0159	b0159
tf-gene	CpxR	nuoA	W	b2288	b2288
tf-gene	CpxR	pdeB	W	b0457	b0457
tf-gene	CpxR	plsB	W	b4041	b4041
tf-gene	CpxR	qmcA	W	b0489	b0489
tf-gene	CpxR	sdhC	W	b0721	b0721
tf-gene	CpxR	shoB	S	b4687	b4687
tf-gene	CpxR	xylE	C	b4031	b4031
tf-gene	CpxR	yacH	W	b0117	b0117
tf-gene	CpxR	yddG	S	b1473	b1473
tf-gene	CpxR	ydeE	W	b1534	b1534
tf-gene	CpxR	yfaH	W	b2238	b2238
tf-gene	CpxR	ygjR	W	b3087	b3087
tf-gene	CpxR	yhdJ	W	b3262	b3262
tf-gene	CpxR	yhdW	W	b3268	b3268
tf-gene	CpxR	yibN	W	b3611	b3611
tf-gene	CpxR	yncE	W	b1452	b1452
tf-gene	Cra	acnB	W	b0118	b0118
tf-gene	Cra	fbp	W	b4232	b4232
tf-gene	Cra	fumD	W	b1675	b1675
tf-gene	Cra	mdtA	W	b2074	b2074
tf-gene	Cra	metE	W	b3829	b3829
tf-gene	Cra	msrB	W	b1778	b1778
tf-gene	Cra	ppsR	W	b1703	b1703
tf-gene	Cra	raiA	W	b2597	b2597
tf-gene	Cra	tmaR	S	b2007	b2007
tf-gene	Cra	ychE	W	b1242	b1242
tf-gene	Cra	yeaC	C	b1777	b1777
tf-gene	CRP	aphA	W	b4055	b4055
tf-gene	CRP	cycA	C	b4208	b4208
tf-gene	CRP	elfA	W	b0938	b0938
tf-gene	CRP	entF	S	b0586	b0585
tf-gene	CRP	htpG	S	b0473	b0473
tf-gene	CRP	purH	S	b4006	b4006
tf-gene	CRP	sfmA	W	b0530	b0530
tf-gene	CRP	ybgD	W	b0719	b0719
tf-gene	CRP	yfcV	W	b2339	b2339
tf-gene	CRP	yraH	W	b3142	b3142
tf-gene	CueR	rmf	S	b0953	b0953
tf-gene	CueR	rsd	S	b3995	b3995
tf-gene	CytR	aphA	W	b4055	b4055
tf-gene	DicD	dicA	W	b1570	b1570
tf-gene	DicD	dicB	W	b1575	b1571
tf-gene	DicD	dicC	W	b1569	b1569
tf-gene	FimZ	puuB	W	b1301	b1298
tf-gene	FimZ	puuC	W	b1300	b1298
tf-gene	FimZ	puuD	W	b1298	b1298
tf-gene	Fis	tolB	W	b0740	b0740
tf-gene	Fis	yodD	W	b1953	b1953
tf-gene	FlhDC	aceB	C	b4014	b4014
tf-gene	FlhDC	adhE	C	b1241	b1241
tf-gene	FlhDC	csgC	W	b1043	b1041
