gnl|ECaadb|1002	gnl|RZaadb|5329
gnl|ECaadb|1004	gnl|RZaadb|1895
gnl|ECaadb|100	gnl|RZaadb|1673
gnl|ECaadb|1011	gnl|RZaadb|5309
gnl|ECaadb|1015	gnl|RZaadb|930
gnl|ECaadb|1020	gnl|RZaadb|5432
gnl|ECaadb|1021	gnl|RZaadb|70
gnl|ECaadb|1023	gnl|RZaadb|5810
gnl|ECaadb|1031	gnl|RZaadb|4615
gnl|ECaadb|1034	gnl|RZaadb|1178
gnl|ECaadb|1037	gnl|RZaadb|5784
gnl|ECaadb|1071	gnl|RZaadb|4691
gnl|ECaadb|1072	gnl|RZaadb|5733
gnl|ECaadb|1076	gnl|RZaadb|890
gnl|ECaadb|1077	gnl|RZaadb|2876
gnl|ECaadb|107	gnl|RZaadb|4414
gnl|ECaadb|1084	gnl|RZaadb|2280
gnl|ECaadb|1085	gnl|RZaadb|4110
gnl|ECaadb|1086	gnl|RZaadb|4111
gnl|ECaadb|1087	gnl|RZaadb|1488
gnl|ECaadb|1096	gnl|RZaadb|5581
gnl|ECaadb|1099	gnl|RZaadb|947
gnl|ECaadb|1103	gnl|RZaadb|619
gnl|ECaadb|1104	gnl|RZaadb|3087
gnl|ECaadb|1107	gnl|RZaadb|4487
gnl|ECaadb|1108	gnl|RZaadb|4488
gnl|ECaadb|1111	gnl|RZaadb|1798
gnl|ECaadb|1112	gnl|RZaadb|5249
gnl|ECaadb|1125	gnl|RZaadb|1047
gnl|ECaadb|1127	gnl|RZaadb|627
gnl|ECaadb|1129	gnl|RZaadb|5791
gnl|ECaadb|1131	gnl|RZaadb|528
gnl|ECaadb|1133	gnl|RZaadb|195
gnl|ECaadb|1134	gnl|RZaadb|532
gnl|ECaadb|1135	gnl|RZaadb|533
gnl|ECaadb|1136	gnl|RZaadb|534
gnl|ECaadb|1137	gnl|RZaadb|2409
gnl|ECaadb|1143	gnl|RZaadb|250
gnl|ECaadb|1147	gnl|RZaadb|3675
gnl|ECaadb|1148	gnl|RZaadb|313
gnl|ECaadb|1150	gnl|RZaadb|4262
gnl|ECaadb|1151	gnl|RZaadb|4263
gnl|ECaadb|115	gnl|RZaadb|2904
gnl|ECaadb|1160	gnl|RZaadb|2090
gnl|ECaadb|1161	gnl|RZaadb|2799
gnl|ECaadb|1166	gnl|RZaadb|4375
gnl|ECaadb|116	gnl|RZaadb|164
gnl|ECaadb|1171	gnl|RZaadb|3383
gnl|ECaadb|1178	gnl|RZaadb|3048
gnl|ECaadb|1187	gnl|RZaadb|2851
gnl|ECaadb|1188	gnl|RZaadb|66
gnl|ECaadb|1189	gnl|RZaadb|5641
gnl|ECaadb|118	gnl|RZaadb|2074
gnl|ECaadb|1190	gnl|RZaadb|4076
gnl|ECaadb|1192	gnl|RZaadb|3536
gnl|ECaadb|119	gnl|RZaadb|546
gnl|ECaadb|1202	gnl|RZaadb|5716
gnl|ECaadb|1210	gnl|RZaadb|5338
gnl|ECaadb|1214	gnl|RZaadb|1312
gnl|ECaadb|1217	gnl|RZaadb|1316
gnl|ECaadb|1224	gnl|RZaadb|4532
gnl|ECaadb|1227	gnl|RZaadb|4853
gnl|ECaadb|1233	gnl|RZaadb|1308
gnl|ECaadb|124	gnl|RZaadb|3647
gnl|ECaadb|1257	gnl|RZaadb|1173
gnl|ECaadb|1274	gnl|RZaadb|3356
gnl|ECaadb|1278	gnl|RZaadb|4585
gnl|ECaadb|1281	gnl|RZaadb|2215
gnl|ECaadb|1285	gnl|RZaadb|4879
