qName	sName	peri	alilen	numMM	nnGP	qSS	qSE	sSS	sSE	Evalue	bitScore	qlen	coveragePercent
gnl|RZaadb|1|WP_003539403.1	gnl|ECaadb|3718	49.25	67	33	1	4	70	3	68	3e-22	79.7	80	83.75
gnl|RZaadb|2|WP_003539626.1	gnl|ECaadb|2338	72.64	106	29	0	1	106	1	106	7e-54	161	112	94.6428571428571
gnl|RZaadb|4|WP_003540801.1	gnl|ECaadb|1671	57.58	66	26	1	4	69	5	68	4e-22	77.8	70	94.2857142857143
gnl|RZaadb|7|WP_003543684.1	gnl|ECaadb|406	62.5	112	42	0	5	116	1	112	6e-51	154	116	96.551724137931
gnl|RZaadb|9|WP_003543812.1	gnl|ECaadb|993	55.36	56	23	2	1	55	1	55	3e-11	50.1	61	90.1639344262295
gnl|RZaadb|12|WP_003544934.1	gnl|ECaadb|824	49.45	91	46	0	1	91	1	91	3e-29	98.2	99	91.9191919191919
gnl|RZaadb|13|WP_003545338.1	gnl|ECaadb|796	61.43	70	27	0	1	70	1	70	2e-28	94	72	97.2222222222222
gnl|RZaadb|14|WP_003545921.1	gnl|ECaadb|378	48.08	52	27	0	13	64	10	61	1e-11	52.4	83	62.6506024096386
gnl|RZaadb|15|WP_003547058.1	gnl|ECaadb|998	60.26	78	31	0	1	78	1	78	1e-27	92.4	78	100
gnl|RZaadb|16|WP_003547190.1	gnl|ECaadb|369	42.18	147	85	0	1	147	1	147	3e-35	117	158	93.0379746835443
gnl|RZaadb|17|WP_003547346.1	gnl|ECaadb|3559	48.31	89	46	0	1	89	1	89	2e-23	82.4	91	97.8021978021978
gnl|RZaadb|19|WP_003547537.1	gnl|ECaadb|3015	77.24	123	28	0	1	123	1	123	5e-69	200	123	100
gnl|RZaadb|20|WP_003547547.1	gnl|ECaadb|2994	70.59	102	30	0	1	102	1	102	2e-50	152	102	100
gnl|RZaadb|21|WP_003547550.1	gnl|ECaadb|2991	50.54	93	45	1	5	96	6	98	9e-23	81.6	97	94.8453608247423
gnl|RZaadb|22|WP_003547562.1	gnl|ECaadb|2979	47.33	131	67	1	1	131	1	129	2e-42	134	132	99.2424242424242
gnl|RZaadb|24|WP_003547577.1	gnl|ECaadb|2970	69.3	114	35	0	16	129	16	129	2e-58	174	129	88.3720930232558
gnl|RZaadb|25|WP_003547579.1	gnl|ECaadb|2968	51.66	331	152	4	2	327	1	328	1e-110	322	336	97.0238095238095
gnl|RZaadb|29|WP_003566413.1	gnl|ECaadb|3507	44.12	68	34	2	1	68	1	64	4e-13	55.5	73	93.1506849315068
gnl|RZaadb|34|WP_003570770.1	gnl|ECaadb|2894	39.33	150	90	1	1	149	8	157	2e-32	110	154	96.7532467532468
gnl|RZaadb|35|WP_003570776.1	gnl|ECaadb|2891	58.75	240	98	1	20	258	2	241	3e-85	251	258	92.6356589147287
gnl|RZaadb|39|WP_003573772.1	gnl|ECaadb|2971	57.27	110	46	1	1	110	1	109	3e-41	130	122	90.1639344262295
gnl|RZaadb|40|WP_003573784.1	gnl|ECaadb|2976	58.5	147	60	1	24	170	13	158	5e-55	169	189	77.7777777777778
gnl|RZaadb|41|WP_003573785.1	gnl|ECaadb|2977	54.17	96	44	0	25	120	22	117	1e-22	82.8	120	80
gnl|RZaadb|42|WP_003573787.1	gnl|ECaadb|2980	44.55	101	56	0	1	101	1	101	2e-18	70.9	101	100
gnl|RZaadb|43|WP_003573790.1	gnl|ECaadb|2983	77.24	123	27	1	1	122	1	123	5e-65	190	122	100
gnl|RZaadb|44|WP_003573792.1	gnl|ECaadb|2986	61.19	134	51	1	1	134	1	133	5e-48	148	137	97.8102189781022
gnl|RZaadb|45|WP_003573793.1	gnl|ECaadb|2987	64.9	208	73	0	1	208	1	208	1e-102	295	244	85.2459016393443
gnl|RZaadb|46|WP_003573797.1	gnl|ECaadb|2989	59.04	83	34	0	1	83	1	83	2e-34	110	92	90.2173913043478
gnl|RZaadb|48|WP_003573944.1	gnl|ECaadb|393	68.91	193	60	0	9	201	14	206	2e-94	271	209	92.3444976076555
gnl|RZaadb|49|WP_003574261.1	gnl|ECaadb|3289	51.85	54	25	1	1	53	1	54	4e-12	55.5	134	39.5522388059701
gnl|RZaadb|50|WP_003578670.1	gnl|ECaadb|2978	47.46	177	93	0	1	177	1	177	1e-55	171	177	100
gnl|RZaadb|52|WP_003579912.1	gnl|ECaadb|3478	34.34	99	65	0	229	327	176	274	1e-14	70.1	339	29.2035398230088
gnl|RZaadb|53|WP_003582204.1	gnl|ECaadb|4247	58.54	41	17	0	1	41	1	41	3e-13	53.5	41	100
gnl|RZaadb|56|WP_003587245.1	gnl|ECaadb|3277	54.55	55	25	0	1	55	1	55	2e-13	54.7	55	100
gnl|RZaadb|66|WP_004668318.1	gnl|ECaadb|1188	38.62	246	147	3	1	245	5	247	3e-51	165	259	94.5945945945946
gnl|RZaadb|69|WP_004668370.1	gnl|ECaadb|3090	57.8	410	173	0	9	418	16	425	0	508	420	97.6190476190476
gnl|RZaadb|70|WP_004668408.1	gnl|ECaadb|1021	45.25	221	121	0	5	225	4	224	8e-68	206	227	97.3568281938326
gnl|RZaadb|71|WP_004668451.1	gnl|ECaadb|934	41.14	175	101	1	280	454	270	442	5e-25	103	457	38.2932166301969
gnl|RZaadb|77|WP_004668514.1	gnl|ECaadb|1657	45.22	115	60	2	1	113	1	114	6e-28	95.9	114	99.1228070175439
gnl|RZaadb|78|WP_004668527.1	gnl|ECaadb|3906	56.06	553	236	2	4	549	3	555	0	561	549	99.4535519125683
gnl|RZaadb|79|WP_004668557.1	gnl|ECaadb|3389	34.71	291	176	7	14	295	35	320	1e-43	153	339	83.1858407079646
gnl|RZaadb|79|WP_004668557.1	gnl|ECaadb|3389	31.65	139	83	4	193	325	349	481	6e-12	63.2	339	39.2330383480826
gnl|RZaadb|97|WP_004668726.1	gnl|ECaadb|1352	57.04	142	60	1	1	142	1	141	3e-55	167	143	99.3006993006993
gnl|RZaadb|101|WP_004668744.1	gnl|ECaadb|1490	56.59	205	89	0	35	239	4	208	4e-83	245	260	78.8461538461538
gnl|RZaadb|103|WP_004668751.1	gnl|ECaadb|8	59.74	313	125	1	1	312	1	313	3e-129	368	321	97.196261682243
gnl|RZaadb|106|WP_004668787.1	gnl|ECaadb|3912	40.65	123	65	4	34	151	33	152	8e-23	85.9	163	72.3926380368098
gnl|RZaadb|107|WP_004668797.1	gnl|ECaadb|4142	31.99	547	360	4	1	542	1	540	1e-74	244	557	97.3070017953321
gnl|RZaadb|108|WP_004668803.1	gnl|ECaadb|89	44.21	285	154	4	9	291	4	285	1e-78	239	318	88.9937106918239
gnl|RZaadb|112|WP_004668823.1	gnl|ECaadb|80	49.3	355	170	4	1	353	1	347	3e-87	265	366	96.448087431694
gnl|RZaadb|114|WP_004668891.1	gnl|ECaadb|3213	48.61	504	255	3	5	507	4	504	2e-159	460	512	98.2421875
gnl|RZaadb|117|WP_004669067.1	gnl|ECaadb|3542	52.02	173	82	1	4	175	8	180	6e-59	179	176	97.7272727272727
gnl|RZaadb|118|WP_004669070.1	gnl|ECaadb|3543	60.99	141	54	1	1	141	1	140	4e-57	172	143	98.6013986013986
gnl|RZaadb|119|WP_004669072.1	gnl|ECaadb|3544	55.51	227	101	0	4	230	6	232	5e-67	204	233	97.4248927038627
gnl|RZaadb|120|WP_004669074.1	gnl|ECaadb|3546	72.22	72	20	0	56	127	50	121	6e-27	94.4	127	56.6929133858268
gnl|RZaadb|121|WP_004669077.1	gnl|ECaadb|3547	58.52	1362	537	11	6	1363	4	1341	0	1559	1379	98.4771573604061
gnl|RZaadb|122|WP_004669085.1	gnl|ECaadb|3014	57.69	156	66	0	1	156	1	156	3e-53	164	156	100
gnl|RZaadb|123|WP_004669088.1	gnl|ECaadb|3540	74.68	395	93	2	1	390	1	393	0	533	391	99.7442455242967
gnl|RZaadb|133|WP_004669530.1	gnl|ECaadb|2499	51.2	416	197	6	24	435	21	434	1e-133	392	498	82.7309236947791
gnl|RZaadb|134|WP_004669533.1	gnl|ECaadb|2510	33.04	227	138	7	16	237	25	242	1e-26	100	248	89.5161290322581
gnl|RZaadb|143|WP_004669780.1	gnl|ECaadb|1710	42.97	128	72	1	7	134	4	130	1e-33	114	169	75.7396449704142
gnl|RZaadb|159|WP_004671248.1	gnl|ECaadb|2941	60.59	444	174	1	1	443	1	444	0	525	449	98.6636971046771
gnl|RZaadb|161|WP_004671262.1	gnl|ECaadb|4283	47.06	85	45	0	1	85	1	85	1e-16	65.5	85	100
gnl|RZaadb|164|WP_004671390.1	gnl|ECaadb|116	38.73	173	99	3	8	176	4	173	4e-40	131	180	93.8888888888889
gnl|RZaadb|165|WP_004671394.1	gnl|ECaadb|3118	44.19	215	120	0	1	215	1	215	5e-45	147	219	98.1735159817352
gnl|RZaadb|173|WP_004671535.1	gnl|ECaadb|1946	33.86	251	155	3	6	251	3	247	3e-38	131	255	96.4705882352941
