RPHASCH2410_RS30305	type II toxin-antitoxin system RelE/ParE family	WP_016736955.1
RPHASCH2410_RS30310	type II toxin-antitoxin system Phd/YefM family	WP_016736954.1
RPHASCH2410_RS30315	LLM class flavin-dependent oxidoreductase	WP_016736953.1
RPHASCH2410_RS30320	FMN-dependent monooxygenase	WP_016736952.1
RPHASCH2410_RS30325	amidohydrolase	WP_016736951.1
RPHASCH2410_RS30330	N-acetyltransferase	WP_029532086.1
RPHASCH2410_RS33670	ABC transporter ATP-binding protein	WP_080956222.1
RPHASCH2410_RS30345	ABC transporter substrate-binding protein	WP_016736949.1
RPHASCH2410_RS30350	ABC transporter substrate-binding protein	WP_016736948.1
RPHASCH2410_RS30355	LLM class flavin-dependent oxidoreductase	WP_016736947.1
RPHASCH2410_RS30360	2-hydroxychromene-2-carboxylate isomerase	WP_016736946.1
RPHASCH2410_RS30365	FMN reductase	WP_016736945.1
RPHASCH2410_RS30370	hypothetical protein	WP_016736944.1
RPHASCH2410_RS30375	serine hydrolase family protein	WP_016736940.1
RPHASCH2410_RS30380	hypothetical protein	WP_016736939.1
RPHASCH2410_RS30385	gamma-glutamylcyclotransferase	WP_016736938.1
RPHASCH2410_RS30390	taurine ABC transporter permease	WP_016736937.1
RPHASCH2410_RS30395	ABC transporter ATP-binding protein	WP_016736936.1
RPHASCH2410_RS30400	taurine ABC transporter substrate-binding	WP_016736935.1
RPHASCH2410_RS30405	hypothetical protein	WP_016736934.1
RPHASCH2410_RS30410	GntR family transcriptional regulator	WP_016736933.1
RPHASCH2410_RS30415	amino acid synthesis family protein	WP_016736932.1
RPHASCH2410_RS30420	alpha/beta hydrolase	WP_016736931.1
RPHASCH2410_RS30425	flavin monooxygenase/reductase	WP_016736930.1
RPHASCH2410_RS30430	LLM class flavin-dependent oxidoreductase	WP_016736929.1
RPHASCH2410_RS30435	carnitine dehydratase	WP_016736928.1
RPHASCH2410_RS30440	NIPSNAP family protein	WP_016736927.1
RPHASCH2410_RS30445	ABC transporter substrate-binding protein	WP_016736926.1
RPHASCH2410_RS30450	ABC transporter permease	WP_016736925.1
RPHASCH2410_RS30455	ABC transporter permease	WP_016736924.1
RPHASCH2410_RS30460	ABC transporter ATP-binding protein	WP_016736923.1
RPHASCH2410_RS30465	NAD-dependent succinate-semialdehyde	WP_016736922.1
RPHASCH2410_RS30470	phosphate ABC transporter substrate-binding	WP_016736921.1
RPHASCH2410_RS30475	FAD-dependent oxidoreductase	WP_016736920.1
RPHASCH2410_RS30480	NAD(P)-dependent oxidoreductase	WP_016736919.1
RPHASCH2410_RS30485	GHMP kinase	WP_016736918.1
RPHASCH2410_RS30490	histidinol phosphate phosphatase	WP_016736917.1
RPHASCH2410_RS30495	epimerase	WP_029532082.1
RPHASCH2410_RS30500	UPF0104 family protein	WP_029532081.1
RPHASCH2410_RS30505	hypothetical protein	WP_016736913.1
RPHASCH2410_RS30510	glycosyltransferase family 2 protein	WP_016736912.1
RPHASCH2410_RS30515	SIS domain-containing protein	WP_016736911.1
RPHASCH2410_RS30520	sn-glycerol-3-phosphate ABC transporter	WP_046977250.1
RPHASCH2410_RS30525	carbohydrate ABC transporter permease	WP_016736909.1
RPHASCH2410_RS30530	sugar ABC transporter permease	WP_016736908.1
RPHASCH2410_RS30535	ABC transporter substrate-binding protein	WP_016736907.1
RPHASCH2410_RS30540	alpha-L-rhamnosidase	WP_016736906.1
RPHASCH2410_RS30545	LacI family transcriptional regulator	WP_016736905.1
RPHASCH2410_RS30550	dihydrodipicolinate synthase family protein	WP_029532075.1
RPHASCH2410_RS30555	GntR family transcriptional regulator	WP_016736903.1
RPHASCH2410_RS30560	FMN reductase	WP_016736902.1
RPHASCH2410_RS30565	dimethyl sulfone monooxygenase SfnG	WP_016736901.1
RPHASCH2410_RS30570	ABC transporter ATP-binding protein	WP_016736900.1
RPHASCH2410_RS30575	branched-chain amino acid ABC transporter	WP_016736899.1
RPHASCH2410_RS30580	branched-chain amino acid ABC transporter	WP_016736898.1
RPHASCH2410_RS30585	ABC transporter permease	WP_016736897.1
RPHASCH2410_RS30590	ABC transporter ATP-binding protein	WP_029532073.1
RPHASCH2410_RS30595	SfnB family sulfur acquisition oxidoreductase	WP_004675857.1
