qName	sName	peri	alilen	numMM	nnGP	qSS	qSE	sSS	sSE	Evalue	bitScore	qlen	coveragePercent
gnl|RZaadb|1|WP_003539403.1	gnl|ECaadb|3718	49.25	67	33	1	4	70	3	68	3e-22	79.7	80	83.75
gnl|RZaadb|2|WP_003539626.1	gnl|ECaadb|2338	72.64	106	29	0	1	106	1	106	7e-54	161	112	94.6428571428571
gnl|RZaadb|3|WP_003540486.1	gnl|ECaadb|998	33.9	59	39	0	1	59	1	59	6e-07	40.4	92	64.1304347826087
gnl|RZaadb|4|WP_003540801.1	gnl|ECaadb|1671	57.58	66	26	1	4	69	5	68	4e-22	77.8	70	94.2857142857143
gnl|RZaadb|5|WP_003542883.1	gnl|ECaadb|3563	30.43	115	80	0	5	119	8	122	3e-11	55.8	120	95.8333333333333
gnl|RZaadb|6|WP_003543311.1	gnl|ECaadb|2024	38.46	117	72	0	1	117	4	120	4e-17	72.8	119	98.3193277310924
gnl|RZaadb|7|WP_003543684.1	gnl|ECaadb|406	62.5	112	42	0	5	116	1	112	6e-51	154	116	96.551724137931
gnl|RZaadb|9|WP_003543812.1	gnl|ECaadb|993	55.36	56	23	2	1	55	1	55	3e-11	50.1	61	90.1639344262295
gnl|RZaadb|10|WP_003543943.1	gnl|ECaadb|1678	28.35	321	198	8	67	361	214	528	1e-27	112	440	67.0454545454545
gnl|RZaadb|11|WP_003544133.1	gnl|ECaadb|1094	35.37	82	53	0	8	89	160	241	2e-09	49.7	91	90.1098901098901
gnl|RZaadb|12|WP_003544934.1	gnl|ECaadb|824	49.45	91	46	0	1	91	1	91	3e-29	98.2	99	91.9191919191919
gnl|RZaadb|13|WP_003545338.1	gnl|ECaadb|796	61.43	70	27	0	1	70	1	70	2e-28	94	72	97.2222222222222
gnl|RZaadb|14|WP_003545921.1	gnl|ECaadb|378	48.08	52	27	0	13	64	10	61	1e-11	52.4	83	62.6506024096386
gnl|RZaadb|15|WP_003547058.1	gnl|ECaadb|998	60.26	78	31	0	1	78	1	78	1e-27	92.4	78	100
gnl|RZaadb|16|WP_003547190.1	gnl|ECaadb|369	42.18	147	85	0	1	147	1	147	3e-35	117	158	93.0379746835443
gnl|RZaadb|17|WP_003547346.1	gnl|ECaadb|3559	48.31	89	46	0	1	89	1	89	2e-23	82.4	91	97.8021978021978
gnl|RZaadb|18|WP_003547430.1	gnl|ECaadb|2532	37.86	103	64	0	5	107	670	772	7e-16	69.3	123	83.739837398374
gnl|RZaadb|19|WP_003547537.1	gnl|ECaadb|3015	77.24	123	28	0	1	123	1	123	5e-69	200	123	100
gnl|RZaadb|20|WP_003547547.1	gnl|ECaadb|2994	70.59	102	30	0	1	102	1	102	2e-50	152	102	100
gnl|RZaadb|21|WP_003547550.1	gnl|ECaadb|2991	50.54	93	45	1	5	96	6	98	9e-23	81.6	97	94.8453608247423
gnl|RZaadb|22|WP_003547562.1	gnl|ECaadb|2979	47.33	131	67	1	1	131	1	129	2e-42	134	132	99.2424242424242
gnl|RZaadb|23|WP_003547566.1	gnl|ECaadb|2975	43.4	53	30	0	13	65	5	57	5e-08	42	69	76.8115942028985
gnl|RZaadb|24|WP_003547577.1	gnl|ECaadb|2970	69.3	114	35	0	16	129	16	129	2e-58	174	129	88.3720930232558
gnl|RZaadb|25|WP_003547579.1	gnl|ECaadb|2968	51.66	331	152	4	2	327	1	328	1e-110	322	336	97.0238095238095
gnl|RZaadb|26|WP_003561293.1	gnl|ECaadb|901	54.69	64	27	1	4	67	6	67	6e-20	72.4	71	90.1408450704225
gnl|RZaadb|29|WP_003566413.1	gnl|ECaadb|3507	44.12	68	34	2	1	68	1	64	4e-13	55.5	73	93.1506849315068
gnl|RZaadb|33|WP_003570362.1	gnl|ECaadb|355	34.45	119	78	0	1	119	1	119	1e-19	77.8	121	98.3471074380165
gnl|RZaadb|34|WP_003570770.1	gnl|ECaadb|2894	39.33	150	90	1	1	149	8	157	2e-32	110	154	96.7532467532468
gnl|RZaadb|35|WP_003570776.1	gnl|ECaadb|2891	58.75	240	98	1	20	258	2	241	3e-85	251	258	92.6356589147287
gnl|RZaadb|39|WP_003573772.1	gnl|ECaadb|2971	57.27	110	46	1	1	110	1	109	3e-41	130	122	90.1639344262295
gnl|RZaadb|40|WP_003573784.1	gnl|ECaadb|2976	58.5	147	60	1	24	170	13	158	5e-55	169	189	77.7777777777778
gnl|RZaadb|41|WP_003573785.1	gnl|ECaadb|2977	54.17	96	44	0	25	120	22	117	1e-22	82.8	120	80
gnl|RZaadb|42|WP_003573787.1	gnl|ECaadb|2980	44.55	101	56	0	1	101	1	101	2e-18	70.9	101	100
gnl|RZaadb|43|WP_003573790.1	gnl|ECaadb|2983	77.24	123	27	1	1	122	1	123	5e-65	190	122	100
gnl|RZaadb|44|WP_003573792.1	gnl|ECaadb|2986	61.19	134	51	1	1	134	1	133	5e-48	148	137	97.8102189781022
gnl|RZaadb|45|WP_003573793.1	gnl|ECaadb|2987	64.9	208	73	0	1	208	1	208	1e-102	295	244	85.2459016393443
gnl|RZaadb|46|WP_003573797.1	gnl|ECaadb|2989	59.04	83	34	0	1	83	1	83	2e-34	110	92	90.2173913043478
gnl|RZaadb|48|WP_003573944.1	gnl|ECaadb|393	68.91	193	60	0	9	201	14	206	2e-94	271	209	92.3444976076555
gnl|RZaadb|49|WP_003574261.1	gnl|ECaadb|3289	51.85	54	25	1	1	53	1	54	4e-12	55.5	134	39.5522388059701
gnl|RZaadb|50|WP_003578670.1	gnl|ECaadb|2978	47.46	177	93	0	1	177	1	177	1e-55	171	177	100
gnl|RZaadb|52|WP_003579912.1	gnl|ECaadb|3478	34.34	99	65	0	229	327	176	274	1e-14	70.1	339	29.2035398230088
gnl|RZaadb|53|WP_003582204.1	gnl|ECaadb|4247	58.54	41	17	0	1	41	1	41	3e-13	53.5	41	100
gnl|RZaadb|55|WP_003585885.1	gnl|ECaadb|2771	38.46	39	23	1	3	40	4	42	8e-05	33.9	70	54.2857142857143
gnl|RZaadb|56|WP_003587245.1	gnl|ECaadb|3277	54.55	55	25	0	1	55	1	55	2e-13	54.7	55	100
gnl|RZaadb|59|WP_003590275.1	gnl|ECaadb|1733	29.33	150	102	1	9	158	18	163	3e-21	82	158	94.9367088607595
gnl|RZaadb|66|WP_004668318.1	gnl|ECaadb|1188	38.62	246	147	3	1	245	5	247	3e-51	165	259	94.5945945945946
gnl|RZaadb|68|WP_004668364.1	gnl|ECaadb|615	26.07	422	276	13	14	414	41	447	2e-18	85.5	543	73.8489871086556
gnl|RZaadb|69|WP_004668370.1	gnl|ECaadb|3090	57.8	410	173	0	9	418	16	425	0	508	420	97.6190476190476
gnl|RZaadb|70|WP_004668408.1	gnl|ECaadb|1021	45.25	221	121	0	5	225	4	224	8e-68	206	227	97.3568281938326
gnl|RZaadb|71|WP_004668451.1	gnl|ECaadb|934	41.14	175	101	1	280	454	270	442	5e-25	103	457	38.2932166301969
gnl|RZaadb|73|WP_004668496.1	gnl|ECaadb|1029	25.27	186	121	6	38	210	38	218	1e-08	51.6	262	66.030534351145
gnl|RZaadb|74|WP_004668498.1	gnl|ECaadb|2210	27.45	153	100	5	67	218	54	196	1e-06	45.8	297	51.1784511784512
gnl|RZaadb|75|WP_004668502.1	gnl|ECaadb|1186	23.37	338	212	15	104	424	70	377	2e-07	50.4	543	59.1160220994475
gnl|RZaadb|76|WP_004668503.1	gnl|ECaadb|1187	28.54	445	284	12	19	448	40	465	2e-38	142	455	94.5054945054945
gnl|RZaadb|77|WP_004668514.1	gnl|ECaadb|1657	45.22	115	60	2	1	113	1	114	6e-28	95.9	114	99.1228070175439
gnl|RZaadb|78|WP_004668527.1	gnl|ECaadb|3906	56.06	553	236	2	4	549	3	555	0	561	549	99.4535519125683
gnl|RZaadb|79|WP_004668557.1	gnl|ECaadb|3389	34.71	291	176	7	14	295	35	320	1e-43	153	339	83.1858407079646
gnl|RZaadb|79|WP_004668557.1	gnl|ECaadb|3389	31.65	139	83	4	193	325	349	481	6e-12	63.2	339	39.2330383480826
gnl|RZaadb|85|WP_004668612.1	gnl|ECaadb|1326	27.74	155	112	0	11	165	8	162	6e-14	65.5	226	68.5840707964602
gnl|RZaadb|87|WP_004668623.1	gnl|ECaadb|312	24.03	154	103	3	10	158	13	157	1e-06	46.2	298	50
gnl|RZaadb|88|WP_004668627.1	gnl|ECaadb|3641	32.42	512	313	11	7	498	6	504	7e-82	261	517	95.1644100580271
gnl|RZaadb|88|WP_004668627.1	gnl|ECaadb|3641	20.17	233	177	4	272	503	20	244	9e-08	51.2	517	44.8742746615087
gnl|RZaadb|89|WP_004668632.1	gnl|ECaadb|2331	30.96	239	141	5	44	275	45	266	1e-05	43.1	339	68.4365781710914
gnl|RZaadb|97|WP_004668726.1	gnl|ECaadb|1352	57.04	142	60	1	1	142	1	141	3e-55	167	143	99.3006993006993
