qName	sName	peri	alilen	numMM	nnGP	qSS	qSE	sSS	sSE	Evalue	bitScore	qlen	coveragePercent
gnl|ECaadb|4|NP_414545.1	gnl|RZaadb|3030	33.88	425	244	9	13	402	16	438	9e-67	218	428	91.1214953271028
gnl|ECaadb|8|NP_414549.1	gnl|RZaadb|103	59.74	313	125	1	1	313	1	312	4e-129	368	317	98.7381703470031
gnl|ECaadb|13|NP_414555.1	gnl|RZaadb|228	68.33	600	183	3	1	598	1	595	0	811	638	93.730407523511
gnl|ECaadb|14|NP_414556.1	gnl|RZaadb|229	52.65	378	169	3	1	372	1	374	8e-102	303	376	98.936170212766
gnl|ECaadb|23|NP_414566.1	gnl|RZaadb|5508	37.58	298	184	2	17	312	19	316	2e-54	177	313	94.5686900958466
gnl|ECaadb|24|NP_414567.1	gnl|RZaadb|5507	41.28	981	483	24	3	923	9	956	0	674	938	98.1876332622601
gnl|ECaadb|25|NP_414568.1	gnl|RZaadb|3336	40.28	144	82	2	21	163	27	167	6e-28	99.8	164	87.1951219512195
gnl|ECaadb|27|NP_414570.1	gnl|RZaadb|3036	47.6	313	158	3	1	309	9	319	1e-90	271	316	97.7848101265823
gnl|ECaadb|28|NP_414571.1	gnl|RZaadb|2087	39.93	278	157	7	5	273	4	280	3e-44	150	304	88.4868421052632
gnl|ECaadb|29|NP_414572.1	gnl|RZaadb|3463	44.09	279	143	3	1	272	1	273	2e-66	206	273	99.6336996336996
gnl|ECaadb|30|NP_414573.1	gnl|RZaadb|1401	51.04	384	176	5	4	378	13	393	2e-129	375	382	98.1675392670157
gnl|ECaadb|31|NP_414574.1	gnl|RZaadb|2352	59.98	1137	359	12	1	1044	1	1134	0	1303	1073	97.2972972972973
gnl|ECaadb|34|NP_414578.2	gnl|RZaadb|5771	51.15	260	126	1	1	260	1	259	8e-72	218	261	99.6168582375479
gnl|ECaadb|41|NP_414585.1	gnl|RZaadb|728	38.61	404	237	7	1	396	1	401	4e-82	256	428	92.5233644859813
gnl|ECaadb|46|NP_414590.1	gnl|RZaadb|6097	36.5	137	73	4	3	125	15	151	1e-21	84.7	159	77.3584905660377
gnl|ECaadb|48|NP_414592.1	gnl|RZaadb|474	45.3	117	64	0	9	125	11	127	1e-26	94	125	93.6
gnl|ECaadb|49|NP_414593.1	gnl|RZaadb|2790	35.85	265	159	6	6	264	16	275	4e-43	145	273	94.8717948717949
gnl|ECaadb|50|NP_414594.1	gnl|RZaadb|1197	38.91	329	193	4	4	324	6	334	6e-68	214	329	97.5683890577508
gnl|ECaadb|55|NP_414601.1	gnl|RZaadb|4447	36.79	193	115	5	147	336	26	214	2e-18	88.6	968	19.6280991735537
gnl|ECaadb|55|NP_414601.1	gnl|RZaadb|4447	42.62	61	34	1	559	619	506	565	9e-10	60.1	968	6.30165289256198
gnl|ECaadb|66|NP_414613.1	gnl|RZaadb|5674	50.25	197	95	3	3	198	2	196	1e-66	201	201	97.5124378109453
gnl|ECaadb|67|NP_414614.1	gnl|RZaadb|4366	66.67	462	153	1	3	463	5	466	0	624	466	98.9270386266094
gnl|ECaadb|68|NP_414615.4	gnl|RZaadb|919	49.72	360	168	7	6	355	5	361	4e-105	311	363	96.4187327823691
gnl|ECaadb|72|NP_414620.1	gnl|RZaadb|481	44.58	166	83	4	5	162	26	190	1e-38	127	163	96.9325153374233
gnl|ECaadb|75|NP_414624.1	gnl|RZaadb|1385	44.73	313	152	8	6	311	18	316	3e-68	214	313	97.7635782747604
gnl|ECaadb|78|NP_414627.1	gnl|RZaadb|5857	35.88	510	274	14	5	491	2	481	2e-64	214	495	98.3838383838384
gnl|ECaadb|79|NP_414628.1	gnl|RZaadb|2298	35.06	445	262	10	24	446	26	465	5e-56	190	452	93.5840707964602
gnl|ECaadb|80|NP_414629.1	gnl|RZaadb|112	50.27	368	173	4	1	360	1	366	8e-104	307	360	100
gnl|ECaadb|81|NP_414630.1	gnl|RZaadb|1382	33.26	457	255	14	7	430	10	449	2e-38	142	438	96.8036529680365
gnl|ECaadb|83|NP_414632.1	gnl|RZaadb|1381	35.56	360	214	9	8	353	6	361	1e-42	149	355	97.4647887323944
gnl|ECaadb|84|NP_414633.1	gnl|RZaadb|1380	43.38	461	243	6	22	475	10	459	9e-98	300	491	92.4643584521385
gnl|ECaadb|85|NP_414634.1	gnl|RZaadb|2297	38.51	309	174	4	4	305	5	304	4e-61	194	306	98.6928104575163
gnl|ECaadb|88|NP_414637.1	gnl|RZaadb|1346	49.33	298	151	0	24	321	26	323	1e-68	217	383	77.8067885117493
gnl|ECaadb|89|NP_414638.1	gnl|RZaadb|108	44.21	285	154	4	4	285	9	291	5e-83	251	305	92.4590163934426
gnl|ECaadb|91|NP_414640.1	gnl|RZaadb|4482	52.25	911	400	10	8	901	10	902	0	926	901	99.2230854605993
gnl|ECaadb|95|NP_414645.1	gnl|RZaadb|1012	30.29	175	115	3	5	176	4	174	4e-18	76.3	206	83.495145631068
gnl|ECaadb|100|NP_414651.1	gnl|RZaadb|1673	42.28	272	150	4	27	296	15	281	2e-50	166	297	90.9090909090909
gnl|ECaadb|106|NP_414657.1	gnl|RZaadb|4784	34.7	415	250	4	210	622	7	402	1e-65	218	630	65.5555555555556
gnl|ECaadb|107|NP_414658.1	gnl|RZaadb|4414	41.1	455	260	7	9	456	5	458	1e-98	301	474	94.5147679324894
gnl|ECaadb|108|NP_414659.1	gnl|RZaadb|3530	30.65	186	92	5	71	256	48	196	4e-17	81.6	617	30.1458670988655
gnl|ECaadb|115|NP_414666.1	gnl|RZaadb|2904	47.52	766	373	11	40	792	30	779	0	666	796	94.5979899497487
gnl|ECaadb|116|NP_414667.4	gnl|RZaadb|164	38.73	173	99	3	4	173	8	176	5e-40	131	178	95.5056179775281
gnl|ECaadb|118|NP_414669.1	gnl|RZaadb|2074	44.05	311	156	5	1	300	1	304	7e-80	242	308	97.4025974025974
gnl|ECaadb|119|NP_414670.1	gnl|RZaadb|546	42.17	230	133	0	8	237	5	234	1e-49	161	256	89.84375
gnl|ECaadb|124|NP_414675.1	gnl|RZaadb|3647	46.3	270	126	5	20	280	20	279	2e-75	229	283	92.226148409894
gnl|ECaadb|125|NP_414676.1	gnl|RZaadb|3648	36.6	265	161	4	1	263	10	269	1e-43	147	264	99.6212121212121
gnl|ECaadb|133|NP_414684.1	gnl|RZaadb|1309	44.78	134	73	1	4	137	9	141	4e-34	115	159	84.2767295597484
gnl|ECaadb|136|NP_414687.1	gnl|RZaadb|673	48.74	119	61	0	29	147	16	134	1e-26	95.1	151	78.8079470198676
gnl|ECaadb|139|NP_414690.4	gnl|RZaadb|1030	44.61	816	437	9	1	806	7	817	0	551	809	99.6291718170581
gnl|ECaadb|141|NP_414692.1	gnl|RZaadb|4130	31.49	759	453	22	9	747	13	724	2e-90	296	747	98.9290495314592
gnl|ECaadb|142|NP_414693.1	gnl|RZaadb|1655	56.42	257	112	0	8	264	2	258	4e-107	308	265	96.9811320754717
gnl|ECaadb|144|NP_414695.1	gnl|RZaadb|4126	39.77	621	350	8	50	658	45	653	4e-84	275	660	92.2727272727273
gnl|ECaadb|147|NP_414698.1	gnl|RZaadb|324	45.12	82	45	0	33	114	29	110	2e-21	79.3	114	71.9298245614035
gnl|ECaadb|152|NP_414703.1	gnl|RZaadb|5188	40.72	442	226	7	40	471	29	444	2e-92	285	474	91.1392405063291
gnl|ECaadb|156|NP_414708.1	gnl|RZaadb|3322	60.85	281	99	4	1	271	6	285	3e-107	310	274	98.9051094890511
gnl|ECaadb|157|NP_414709.1	gnl|RZaadb|3342	33.01	836	490	21	69	860	98	907	5e-120	385	890	88.9887640449438
gnl|ECaadb|158|NP_414710.1	gnl|RZaadb|310	50.6	249	121	2	2	250	17	263	2e-84	251	264	94.3181818181818
gnl|ECaadb|159|NP_414711.1	gnl|RZaadb|674	52.74	237	111	1	5	241	7	242	2e-90	265	241	98.3402489626556
gnl|ECaadb|160|NP_414712.1	gnl|RZaadb|742	45.6	307	141	6	1	281	1	307	2e-64	202	283	99.2932862190813
gnl|ECaadb|161|NP_414713.1	gnl|RZaadb|557	47.88	236	123	0	6	241	4	239	6e-73	220	241	97.9253112033195
gnl|ECaadb|162|NP_414714.1	gnl|RZaadb|558	46.93	179	95	0	7	185	8	186	6e-45	144	185	96.7567567567568
gnl|ECaadb|163|NP_414715.1	gnl|RZaadb|4433	45.48	398	200	6	2	396	9	392	3e-108	321	398	99.2462311557789
gnl|ECaadb|164|NP_414716.1	gnl|RZaadb|1788	45.99	237	128	0	9	245	1	237	5e-69	210	253	93.6758893280632
gnl|ECaadb|165|NP_414717.2	gnl|RZaadb|1789	41.33	150	80	3	136	285	116	257	2e-21	89	285	52.6315789473684
gnl|ECaadb|166|NP_414718.1	gnl|RZaadb|1790	31.17	231	151	3	223	448	143	370	3e-35	132	450	50.2222222222222
gnl|ECaadb|166|NP_414718.1	gnl|RZaadb|1790	36.78	174	99	2	4	166	8	181	2e-20	89.7	450	36.2222222222222
gnl|ECaadb|169|NP_414721.1	gnl|RZaadb|1792	38.08	323	177	6	22	329	33	347	2e-55	182	341	90.3225806451613
gnl|ECaadb|170|NP_414722.1	gnl|RZaadb|559	45.39	152	79	2	2	151	6	155	8e-43	137	151	99.3377483443709
gnl|ECaadb|171|NP_414723.1	gnl|RZaadb|1793	44.27	253	141	0	2	254	4	256	3e-68	209	262	96.5648854961832
gnl|ECaadb|172|NP_414724.1	gnl|RZaadb|1795	34.6	341	190	13	6	330	5	328	8e-45	156	382	85.0785340314136
gnl|ECaadb|173|NP_414725.1	gnl|RZaadb|3091	51.1	182	87	2	12	192	36	216	2e-50	160	198	91.4141414141414
gnl|ECaadb|174|NP_414726.1	gnl|RZaadb|2625	43.14	1115	578	20	4	1090	17	1103	0	813	1160	93.7068965517241
gnl|ECaadb|175|NP_414727.1	gnl|RZaadb|4456	50.96	314	152	1	4	317	3	314	1e-99	293	319	98.4326018808777
gnl|ECaadb|176|NP_414728.1	gnl|RZaadb|3520	41.85	724	392	11	19	713	26	749	0	552	713	97.4754558204769
gnl|ECaadb|181|NP_414733.1	gnl|RZaadb|1017	39.57	139	82	2	2	138	6	144	2e-18	73.9	140	97.8571428571429
gnl|ECaadb|184|NP_414736.1	gnl|RZaadb|2626	59.28	221	90	0	1	221	1	221	1e-93	291	572	38.6363636363636
gnl|ECaadb|184|NP_414736.1	gnl|RZaadb|2626	43.67	158	88	1	400	557	273	429	4e-37	140	572	27.6223776223776
