RPHASCH2410_RS30325	amidohydrolase	WP_016736951.1
RPHASCH2410_RS30390	taurine ABC transporter permease	WP_016736937.1
RPHASCH2410_RS30395	ABC transporter ATP-binding protein	WP_016736936.1
RPHASCH2410_RS30400	taurine ABC transporter substrate-binding	WP_016736935.1
RPHASCH2410_RS30465	NAD-dependent succinate-semialdehyde	WP_016736922.1
RPHASCH2410_RS30490	histidinol phosphate phosphatase	WP_016736917.1
RPHASCH2410_RS30515	SIS domain-containing protein	WP_016736911.1
RPHASCH2410_RS30560	FMN reductase	WP_016736902.1
RPHASCH2410_RS30670	DNA-binding response regulator	WP_016736883.1
RPHASCH2410_RS30675	HAMP domain-containing protein	WP_029532064.1
RPHASCH2410_RS30740	2-oxo acid dehydrogenase subunit E2	WP_016736869.1
RPHASCH2410_RS30905	sn-glycerol-3-phosphate ABC transporter	WP_016736839.1
RPHASCH2410_RS30910	sn-glycerol-3-phosphate ABC transporter permease	WP_016736838.1
RPHASCH2410_RS30915	sn-glycerol-3-phosphate ABC transporter permease	WP_016736837.1
RPHASCH2410_RS30920	sn-glycerol-3-phosphate import ATP-binding	WP_016736836.1
RPHASCH2410_RS30925	glycerophosphoryl diester phosphodiesterase	WP_016736835.1
RPHASCH2410_RS31040	FAD-dependent oxidoreductase	WP_016736815.1
RPHASCH2410_RS31155	cytochrome c maturation protein CcmE	WP_046977251.1
RPHASCH2410_RS31215	nitrogen fixation transcriptional regulator	WP_016737109.1
RPHASCH2410_RS31280	oxygen-independent coproporphyrinogen III	WP_046977253.1
RPHASCH2410_RS31335	DNA-binding response regulator	WP_010014366.1
RPHASCH2410_RS31340	ribokinase	WP_016737084.1
RPHASCH2410_RS31350	LacI family transcriptional regulator	WP_029532139.1
RPHASCH2410_RS31380	alcohol dehydrogenase AdhP	WP_016737077.1
RPHASCH2410_RS31450	amino acid ABC transporter	WP_029532129.1
RPHASCH2410_RS31490	acyl-CoA dehydrogenase	WP_016737061.1
RPHASCH2410_RS31500	crotonobetainyl-CoA hydratase	WP_029532123.1
RPHASCH2410_RS31550	DUF3520 domain-containing protein	WP_029532121.1
RPHASCH2410_RS31565	L-idonate 5-dehydrogenase	WP_016737046.1
RPHASCH2410_RS31575	KR domain-containing protein	WP_016737044.1
RPHASCH2410_RS31630	DNA-binding response regulator	WP_016737036.1
RPHASCH2410_RS31650	amino acid ABC transporter	WP_016737032.1
RPHASCH2410_RS31690	ABC transporter permease	WP_016737024.1
RPHASCH2410_RS31820	SDR family NAD(P)-dependent oxidoreductase	WP_016736999.1
RPHASCH2410_RS31825	LysR family transcriptional regulator	WP_016736998.1
RPHASCH2410_RS31840	hypothetical protein	WP_016736995.1
RPHASCH2410_RS31845	allophanate hydrolase	WP_016736994.1
RPHASCH2410_RS31910	oxidoreductase	WP_016736981.1
RPHASCH2410_RS31955	DNA-binding response regulator	WP_016736973.1
RPHASCH2410_RS31970	TRAP transporter small permease	WP_016736970.1
RPHASCH2410_RS31975	dehydroascorbate transporter	WP_016736969.1
RPHASCH2410_RS31980	TRAP transporter substrate-binding protein	WP_016736968.1
RPHASCH2410_RS32035	trehalose-phosphatase	WP_016736960.1
RPHASCH2410_RS21205	potassium-transporting ATPase subunit KdpC	WP_016736657.1
RPHASCH2410_RS21210	K(+)-transporting ATPase subunit B	WP_016736658.1
RPHASCH2410_RS21215	potassium-transporting ATPase subunit KdpA	WP_016736659.1
RPHASCH2410_RS21230	NAD(P)-dependent alcohol dehydrogenase	WP_016736661.1
RPHASCH2410_RS21235	DedA family protein	WP_016736662.1
RPHASCH2410_RS21240	mercuric reductase	WP_016736663.1
RPHASCH2410_RS21305	iron-hydroxamate transporter ATP-binding	WP_012490604.1
RPHASCH2410_RS21320	L-rhamnose mutarotase	WP_012490607.1
RPHASCH2410_RS21330	ABC transporter permease	WP_016736678.1
RPHASCH2410_RS21340	rhamnose ABC transporter substrate-binding	WP_011428143.1
RPHASCH2410_RS21345	DeoR/GlpR transcriptional regulator	WP_004678031.1
RPHASCH2410_RS21380	SDR family NAD(P)-dependent oxidoreductase	WP_004675831.1
RPHASCH2410_RS21440	hydroxyacid aldolase	WP_012490628.1
RPHASCH2410_RS21485	bifunctional hydroxymethylpyrimidine	WP_016736701.1
RPHASCH2410_RS21495	hydroxyethylthiazole kinase	WP_016736703.1
RPHASCH2410_RS21530	ABC transporter ATP-binding protein	WP_016736708.1
RPHASCH2410_RS21550	amino acid permease	WP_016736711.1
RPHASCH2410_RS21560	aspartate ammonia-lyase	WP_016736713.1
RPHASCH2410_RS21565	TauD/TfdA family dioxygenase	WP_016736714.1
RPHASCH2410_RS21615	dienelactone hydrolase family protein	WP_012490663.1
RPHASCH2410_RS21690	RidA family protein	WP_016736729.1
RPHASCH2410_RS21695	MurR/RpiR family transcriptional regulator	WP_016736730.1
RPHASCH2410_RS21750	2-deoxy-D-gluconate 3-dehydrogenase	WP_039752254.1
RPHASCH2410_RS21755	5-dehydro-4-deoxy-D-glucuronate isomerase	WP_016736741.1
RPHASCH2410_RS21780	septum site-determining protein MinD	WP_016736745.1
RPHASCH2410_RS21785	septum formation inhibitor MinC	WP_029531995.1
RPHASCH2410_RS21880	Fis family transcriptional regulator	WP_016736761.1
RPHASCH2410_RS21965	nicotinate-nucleotide diphosphorylase	WP_012490730.1
RPHASCH2410_RS21970	L-aspartate oxidase	WP_016736774.1
RPHASCH2410_RS21975	quinolinate synthase NadA	WP_016736775.1
RPHASCH2410_RS21995	Rieske family ferredoxin	WP_016736778.1
RPHASCH2410_RS22095	Cu(I)-responsive transcriptional regulator	WP_004678499.1
RPHASCH2410_RS22100	copper-translocating P-type ATPase	WP_016736797.1
RPHASCH2410_RS22150	penicillin-binding protein 1C	WP_016736497.1
RPHASCH2410_RS22180	Bcr/CflA family drug resistance efflux	WP_012490410.1
RPHASCH2410_RS22240	cytochrome o ubiquinol oxidase subunit IV	WP_004679731.1
RPHASCH2410_RS22245	cytochrome o ubiquinol oxidase subunit III	WP_004679733.1
RPHASCH2410_RS22250	cytochrome o ubiquinol oxidase subunit I	WP_016736508.1
RPHASCH2410_RS22255	ubiquinol oxidase subunit II	WP_029531919.1
RPHASCH2410_RS22260	MFS transporter	WP_016736510.1
RPHASCH2410_RS22335	nucleotide sugar dehydrogenase	WP_029531923.1
RPHASCH2410_RS22340	type II toxin-antitoxin system	WP_010025738.1
RPHASCH2410_RS22345	Txe/YoeB family addiction module toxin	WP_016736523.1
RPHASCH2410_RS22430	pca operon transcription factor PcaQ	WP_029531931.1
RPHASCH2410_RS22460	dioxygenase	WP_016736544.1
RPHASCH2410_RS22480	methylated-DNA--[protein]-cysteine	WP_016736548.1
RPHASCH2410_RS22505	HutD-family protein	WP_016736552.1
RPHASCH2410_RS22550	ABC transporter permease	WP_016736558.1
RPHASCH2410_RS22555	ABC transporter permease	WP_004674851.1
RPHASCH2410_RS22630	alpha-glucosidase/alpha-galactosidase	WP_016736571.1
RPHASCH2410_RS22650	carbohydrate ABC transporter permease	WP_029531942.1
RPHASCH2410_RS22705	tail-specific protease	WP_016736584.1
RPHASCH2410_RS22810	alkanesulfonate monooxygenase,	WP_039752217.1
RPHASCH2410_RS22870	3-oxoadipate CoA-transferase subunit A	WP_016736614.1
RPHASCH2410_RS22875	CoA transferase subunit B	WP_016736615.1
RPHASCH2410_RS22880	3-oxoadipyl-CoA thiolase	WP_016736616.1
RPHASCH2410_RS22905	glycogen debranching enzyme GlgX	WP_016736621.1
RPHASCH2410_RS23080	peptidase T	WP_016736650.1
RPHASCH2410_RS23090	sulfate ABC transporter ATP-binding protein	WP_012490580.1
RPHASCH2410_RS23095	sulfate ABC transporter permease subunit CysW	WP_016736653.1
RPHASCH2410_RS23100	sulfate ABC transporter permease subunit CysT	WP_016736654.1
RPHASCH2410_RS23105	sulfate ABC transporter substrate-binding	WP_012490583.1
RPHASCH2410_RS23120	DNA-binding response regulator	WP_016736656.1
RPHASCH2410_RS23125	sensor histidine kinase KdpD	WP_046977163.1
RPHASCH2410_RS23135	IS30 family transposase	WP_016737537.1
RPHASCH2410_RS23235	RNA polymerase sigma-54 factor	WP_011053429.1
RPHASCH2410_RS23245	cysteine desulfurase NifS	WP_012489549.1
RPHASCH2410_RS23260	electron transfer flavoprotein subunit	WP_008536549.1
RPHASCH2410_RS23265	FAD-dependent oxidoreductase	WP_008536548.1
RPHASCH2410_RS23270	ferredoxin-like protein	WP_004678523.1
RPHASCH2410_RS23275	nif-specific transcriptional activator NifA	WP_011053431.1
RPHASCH2410_RS23285	4Fe-4S dicluster domain-containing protein	WP_012489551.1
RPHASCH2410_RS23810	aquaporin	WP_004677031.1
RPHASCH2410_RS23885	recombinase family protein	WP_029532324.1
RPHASCH2410_RS23925	dCTP deaminase	WP_016737368.1
RPHASCH2410_RS24055	PDZ domain-containing protein	WP_016737390.1
RPHASCH2410_RS24310	FliI/YscN family ATPase	WP_046977180.1
RPHASCH2410_RS24440	NAD(P)-dependent oxidoreductase	WP_011053340.1
RPHASCH2410_RS33135	AraC family transcriptional regulator	WP_016737424.1
RPHASCH2410_RS24540	GGDEF domain-containing protein	WP_016737428.1
RPHASCH2410_RS24575	SDR family NAD(P)-dependent oxidoreductase	WP_004671535.1
RPHASCH2410_RS24590	LLM class flavin-dependent oxidoreductase	WP_016737431.1
RPHASCH2410_RS24600	pyridoxal phosphate-dependent aminotransferase	WP_026188837.1
RPHASCH2410_RS24610	bifunctional	WP_016737433.1
RPHASCH2410_RS24870	ABC transporter permease	WP_016737468.1
RPHASCH2410_RS25115	methionine gamma-lyase	WP_016735374.1
RPHASCH2410_RS25240	ferritin-like domain-containing protein	WP_016735396.1
RPHASCH2410_RS25305	FadR family transcriptional regulator	WP_029531726.1
RPHASCH2410_RS25605	AraC family transcriptional regulator	WP_016735466.1
RPHASCH2410_RS25610	LacI family DNA-binding transcriptional	WP_004680351.1
RPHASCH2410_RS25690	sugar ABC transporter permease	WP_016735480.1
RPHASCH2410_RS25700	sugar kinase	WP_016735481.1
RPHASCH2410_RS25825	MFS transporter	WP_016735505.1
RPHASCH2410_RS25830	MetQ/NlpA family lipoprotein	WP_016735506.1
RPHASCH2410_RS25835	methionine ABC transporter ATP-binding protein	WP_016735507.1
RPHASCH2410_RS25840	ABC transporter permease	WP_016735508.1
RPHASCH2410_RS25850	methylmalonyl-CoA mutase	WP_016735510.1
RPHASCH2410_RS25915	cytochrome d ubiquinol oxidase subunit II	WP_016735522.1
