qName	sName	peri	Evalue	bitScore	qlen	coveragePercent
gnl|RZaadb|12	gnl|ECaadb|824	49.45	3e-29	98.2	99	91.9191919191919
gnl|RZaadb|16	gnl|ECaadb|369	42.18	3e-35	117	158	93.0379746835443
gnl|RZaadb|17	gnl|ECaadb|3559	48.31	2e-23	82.4	91	97.8021978021978
gnl|RZaadb|52	gnl|ECaadb|3478	34.34	1e-14	70.1	339	29.2035398230088
gnl|RZaadb|241	gnl|ECaadb|355	49.33	4e-73	219	227	98.2378854625551
gnl|RZaadb|345	gnl|ECaadb|2580	34.33	2e-54	178	336	87.2023809523809
gnl|RZaadb|524	gnl|ECaadb|3737	32.03	5e-42	141	270	93.7037037037037
gnl|RZaadb|544	gnl|ECaadb|3152	41.27	2e-11	53.1	107	58.8785046728972
gnl|RZaadb|545	gnl|ECaadb|403	52.32	9e-51	157	162	92.5925925925926
gnl|RZaadb|548	gnl|ECaadb|442	44.88	8e-30	102	129	97.6744186046512
gnl|RZaadb|592	gnl|ECaadb|3600	37.01	1e-16	69.3	132	95.4545454545455
gnl|RZaadb|642	gnl|ECaadb|4182	33.67	1e-53	176	332	90.3614457831325
gnl|RZaadb|772	gnl|ECaadb|610	43.33	6e-31	105	142	83.8028169014084
gnl|RZaadb|815	gnl|ECaadb|3073	46.35	4e-67	204	241	96.2655601659751
gnl|RZaadb|860	gnl|ECaadb|320	47.62	4e-17	66.6	90	70
gnl|RZaadb|930	gnl|ECaadb|1015	30.1	2e-19	79.7	205	95.1219512195122
gnl|RZaadb|942	gnl|ECaadb|1836	41.25	6e-18	68.6	83	96.3855421686747
gnl|RZaadb|970	gnl|ECaadb|2277	52.08	1e-79	261	562	42.5266903914591
gnl|RZaadb|995	gnl|ECaadb|3724	40.97	2e-29	102	160	88.75
gnl|RZaadb|1060	gnl|ECaadb|3333	34.39	3e-83	263	516	90.8914728682171
gnl|RZaadb|1129	gnl|ECaadb|2090	33.7	1e-43	149	318	84.9056603773585
gnl|RZaadb|1164	gnl|ECaadb|278	34.78	6e-23	88.6	206	87.8640776699029
gnl|RZaadb|1178	gnl|ECaadb|1034	42.66	3e-53	168	223	95.9641255605381
gnl|RZaadb|1230	gnl|ECaadb|1755	34.34	5e-32	112	207	94.2028985507246
gnl|RZaadb|1274	gnl|ECaadb|3444	44.21	2e-130	383	483	97.3084886128364
gnl|RZaadb|1316	gnl|ECaadb|1217	53.54	6e-106	308	297	100
gnl|RZaadb|1428	gnl|ECaadb|2776	50	3e-20	81.3	189	42.8571428571429
gnl|RZaadb|1540	gnl|ECaadb|3617	67.83	9e-58	174	156	91.6666666666667
gnl|RZaadb|1764	gnl|ECaadb|2940	39.74	7e-27	95.9	157	92.3566878980892
gnl|RZaadb|1877	gnl|ECaadb|3683	30	1e-07	51.2	502	19.7211155378486
gnl|RZaadb|1985	gnl|ECaadb|2448	52.93	0	877	884	97.5113122171946
gnl|RZaadb|2096	gnl|ECaadb|2644	33.99	2e-46	155	309	96.4401294498382
gnl|RZaadb|2246	gnl|ECaadb|2722	37.05	3e-34	124	302	83.112582781457
gnl|RZaadb|2466	gnl|ECaadb|2554	37.2	6e-60	190	289	100
gnl|RZaadb|2498	gnl|ECaadb|710	30.59	4e-30	108	233	93.9914163090129
gnl|RZaadb|2566	gnl|ECaadb|1498	37.04	8e-21	80.1	154	87.012987012987
gnl|RZaadb|2614	gnl|ECaadb|3733	47.76	1e-129	386	552	80.4347826086957
gnl|RZaadb|2629	gnl|ECaadb|3538	31.36	5e-13	64.7	254	89.7637795275591
gnl|RZaadb|2735	gnl|ECaadb|1563	50.54	1e-30	102	112	83.0357142857143
gnl|RZaadb|2787	gnl|ECaadb|3796	42.86	5e-99	304	496	79.6370967741936
gnl|RZaadb|2962	gnl|ECaadb|2316	37.65	3e-14	63.2	148	57.4324324324324
gnl|RZaadb|3019	gnl|ECaadb|1513	32.93	2e-50	168	334	99.4011976047904
gnl|RZaadb|3094	gnl|ECaadb|243	33.77	5e-34	120	265	85.6603773584906
gnl|RZaadb|3120	gnl|ECaadb|2766	34.39	4e-43	147	298	94.2953020134228
gnl|RZaadb|3319	gnl|ECaadb|2017	32.95	3e-46	158	357	94.3977591036415
gnl|RZaadb|3409	gnl|ECaadb|1395	37.84	4e-17	70.9	165	65.4545454545455
gnl|RZaadb|3572	gnl|ECaadb|2582	31.03	1e-30	114	301	86.3787375415282
gnl|RZaadb|3631	gnl|ECaadb|2914	37.44	2e-41	139	234	96.1538461538462
gnl|RZaadb|3649	gnl|ECaadb|3530	38.49	1e-45	154	304	86.1842105263158
gnl|RZaadb|3731	gnl|ECaadb|1638	32.74	1e-37	130	263	85.9315589353612
gnl|RZaadb|3897	gnl|ECaadb|3458	36.73	3e-58	183	257	95.3307392996109
