NCBI_name	EC_locusTag	motifCoverage	identPercent	motifDesc	mSS	mSE
comR	b1111	100	42.62	Conserved-Region	18	78
comR	b1111	100	45	DNA-Binding-Region	41	60
phoP	b1130	100	42.61	Conserved-Region	2	116
phoP	b1130	95.96	36.84	DNA-Binding-Region	124	222
puuR	b1299	100	34.55	Conserved-Region	12	66
puuR	b1299	100	45	DNA-Binding-Region	23	42
pgrR	b1328	100	39.66	Conserved-Region	4	61
pgrR	b1328	100	55	DNA-Binding-Region	21	40
slyA	b1642	97.76	37.4	Conserved-Region	2	135
slyA	b1642	100	50	DNA-Binding-Region	49	72
purR	b1658	100	56.36	Conserved-Region	2	56
purR	b1658	100	65	DNA-Binding-Region	4	23
purR	b1658	100	66.67	DNA-Binding-Region	48	56
nimR	b1790	98.02	36.36	Conserved-Region	158	258
nimR	b1790	100	36.36	DNA-Binding-Region	178	199
nimR	b1790	100	37.5	DNA-Binding-Region	225	248
yebK	b1853	100	29.08	Conserved-Region	121	260
yebK	b1853	100	38.96	Conserved-Region	1	77
yebK	b1853	100	60	DNA-Binding-Region	37	56
uvrY	b1914	86.36	29.82	Conserved-Region	143	208
uvrY	b1914	100	38.46	Conserved-Region	3	119
uvrY	b1914	100	35	DNA-Binding-Region	167	186
nac	b1988	100	43.1	Conserved-Region	1	58
nac	b1988	100	30	DNA-Binding-Region	18	37
baeR	b2079	100	48.25	Conserved-Region	12	125
baeR	b2079	100	34.62	DNA-Binding-Region	131	234
narP	b2193	78.79	44.23	Conserved-Region	147	212
narP	b2193	100	30.77	Conserved-Region	8	124
narP	b2193	100	45	DNA-Binding-Region	171	190
ada	b2213	100	27.45	Conserved-Region	85	183
ada	b2213	100	25	DNA-Binding-Region	102	121
atoC	b2220	100	50.65	Conserved-Region	145	374
atoC	b2220	100	35.04	Conserved-Region	6	120
atoC	b2220	100	40	DNA-Binding-Region	433	452
atoC	b2220	100	87.5	Nucleotide-Phosphate-Binding-Region	173	180
atoC	b2220	100	60	Nucleotide-Phosphate-Binding-Region	236	245
lrhA	b2289	100	55.17	Conserved-Region	11	68
lrhA	b2289	100	60	DNA-Binding-Region	28	47
xynR	b0272	85.71	29.63	Conserved-Region	4	66
xynR	b0272	94.12	34.38	Conserved-Region	81	250
xynR	b0272	100	42.86	DNA-Binding-Region	25	45
gcvA	b2808	100	65.52	Conserved-Region	6	63
gcvA	b2808	100	80	DNA-Binding-Region	23	42
galR	b2837	94.64	43.4	Conserved-Region	1	56
galR	b2837	100	75	DNA-Binding-Region	4	23
lysR	b2839	100	40.98	Conserved-Region	1	61
lysR	b2839	100	35	DNA-Binding-Region	21	40
argP	b2916	98.25	50	Conserved-Region	4	60
argP	b2916	100	70	DNA-Binding-Region	21	40
ttdR	b3060	93.1	31.48	Conserved-Region	6	63
ttdR	b3060	100	50	DNA-Binding-Region	23	42
betI	b0313	100	42.62	Conserved-Region	8	68
betI	b0313	100	55	DNA-Binding-Region	31	50
nanR	b3226	100	52.17	Conserved-Region	30	98
nanR	b3226	100	60	DNA-Binding-Region	58	77
zntR	b3292	95.71	46.27	Conserved-Region	1	70
zntR	b3292	100	50	DNA-Binding-Region	4	23
ompR	b3405	100	49.14	Conserved-Region	6	120
ompR	b3405	98	47.47	DNA-Binding-Region	135	234
rtcR	b3422	100	68.62	Conserved-Region	186	424
rtcR	b3422	100	55	DNA-Binding-Region	485	504
rtcR	b3422	100	100	Nucleotide-Phosphate-Binding-Region	215	222
rtcR	b3422	100	70	Nucleotide-Phosphate-Binding-Region	281	290
dnaA	b3702	100	62.5	Nucleotide-Phosphate-Binding-Region	172	179
rbsR	b3753	100	43.64	Conserved-Region	2	56
rbsR	b3753	100	60	DNA-Binding-Region	4	23
glnG	b3868	100	56.09	Conserved-Region	140	369
glnG	b3868	99.13	37.72	Conserved-Region	5	119
glnG	b3868	100	50	DNA-Binding-Region	445	464
glnG	b3868	100	100	Nucleotide-Phosphate-Binding-Region	168	175
glnG	b3868	100	90	Nucleotide-Phosphate-Binding-Region	231	240
csqR	b3884	94.64	32.08	Conserved-Region	8	63
csqR	b3884	100	40	DNA-Binding-Region	25	44
cpxR	b3912	100	42.98	Conserved-Region	3	115
cpxR	b3912	96	50	DNA-Binding-Region	131	230
cytR	b3934	100	45.45	Conserved-Region	10	64
cytR	b3934	100	60	DNA-Binding-Region	12	31
oxyR	b3961	55.17	56.25	Conserved-Region	1	58
oxyR	b3961	55	63.64	DNA-Binding-Region	18	37
phoB	b0399	100	51.28	Conserved-Region	4	120
phoB	b0399	95.96	48.42	DNA-Binding-Region	129	227
soxR	b4063	100	72.46	Conserved-Region	11	79
soxR	b4063	100	80	DNA-Binding-Region	14	33
basR	b4113	100	47.83	Conserved-Region	2	116
basR	b4113	97.89	40	DNA-Binding-Region	124	218
nrdR	b0413	100	39.56	Conserved-Region	49	139
nrdR	b0413	100	50	Zn-Finger-Region	3	34
nsrR	b4178	100	41.35	Conserved-Region	2	129
nsrR	b4178	100	37.5	DNA-Binding-Region	28	51
aidB	b4187	98.4	46.33	Catalytic-Domain	2	439
aidB	b4187	9.8	10	DNA-Binding-Region	440	541
aidB	b4187	100	90	Nucleotide-Phosphate-Binding-Region	182	191
aidB	b4187	100	66.67	Nucleotide-Phosphate-Binding-Region	216	218
aidB	b4187	100	81.82	Nucleotide-Phosphate-Binding-Region	423	433
ulaR	b4191	100	42.86	Conserved-Region	3	58
