gnl|ECaadb|1002|NP_415616.1	gnl|RZaadb|5329	NP_415616.1
gnl|ECaadb|1004|NP_415618.1	gnl|RZaadb|1895	NP_415618.1
gnl|ECaadb|100|NP_414651.1	gnl|RZaadb|1673	NP_414651.1
gnl|ECaadb|1011|NP_415625.1	gnl|RZaadb|5309	NP_415625.1
gnl|ECaadb|1015|NP_415629.4	gnl|RZaadb|930	NP_415629.4
gnl|ECaadb|1020|NP_415634.1	gnl|RZaadb|5432	NP_415634.1
gnl|ECaadb|1021|NP_415635.4	gnl|RZaadb|70	NP_415635.4
gnl|ECaadb|1023|NP_415637.1	gnl|RZaadb|5810	NP_415637.1
gnl|ECaadb|1031|NP_415645.1	gnl|RZaadb|4615	NP_415645.1
gnl|ECaadb|1034|NP_415648.1	gnl|RZaadb|1178	NP_415648.1
gnl|ECaadb|1037|NP_415651.4	gnl|RZaadb|5784	NP_415651.4
gnl|ECaadb|1071|NP_415693.1	gnl|RZaadb|4691	NP_415693.1
gnl|ECaadb|1072|NP_415694.1	gnl|RZaadb|5733	NP_415694.1
gnl|ECaadb|1076|NP_415698.1	gnl|RZaadb|890	NP_415698.1
gnl|ECaadb|1077|NP_415699.5	gnl|RZaadb|2876	NP_415699.5
gnl|ECaadb|107|NP_414658.1	gnl|RZaadb|4414	NP_414658.1
gnl|ECaadb|1084|NP_415706.1	gnl|RZaadb|2280	NP_415706.1
gnl|ECaadb|1085|NP_415707.1	gnl|RZaadb|4110	NP_415707.1
gnl|ECaadb|1086|NP_415708.1	gnl|RZaadb|4111	NP_415708.1
gnl|ECaadb|1087|NP_415709.2	gnl|RZaadb|1488	NP_415709.2
gnl|ECaadb|1096|NP_415718.6	gnl|RZaadb|5581	NP_415718.6
gnl|ECaadb|1099|NP_415721.1	gnl|RZaadb|947	NP_415721.1
gnl|ECaadb|1103|NP_415725.1	gnl|RZaadb|619	NP_415725.1
gnl|ECaadb|1104|NP_415726.1	gnl|RZaadb|3087	NP_415726.1
gnl|ECaadb|1107|NP_415729.1	gnl|RZaadb|4487	NP_415729.1
gnl|ECaadb|1108|NP_415730.1	gnl|RZaadb|4488	NP_415730.1
gnl|ECaadb|1111|NP_415733.1	gnl|RZaadb|1798	NP_415733.1
gnl|ECaadb|1112|NP_415734.1	gnl|RZaadb|5249	NP_415734.1
gnl|ECaadb|1125|NP_415748.1	gnl|RZaadb|1047	NP_415748.1
gnl|ECaadb|1127|NP_415750.2	gnl|RZaadb|627	NP_415750.2
gnl|ECaadb|1129|NP_415752.1	gnl|RZaadb|5791	NP_415752.1
gnl|ECaadb|1131|NP_415754.1	gnl|RZaadb|528	NP_415754.1
gnl|ECaadb|1133|NP_415758.1	gnl|RZaadb|195	NP_415758.1
gnl|ECaadb|1134|NP_415759.1	gnl|RZaadb|532	NP_415759.1
gnl|ECaadb|1135|NP_415760.1	gnl|RZaadb|533	NP_415760.1
gnl|ECaadb|1136|NP_415761.1	gnl|RZaadb|534	NP_415761.1
gnl|ECaadb|1137|NP_415763.1	gnl|RZaadb|2409	NP_415763.1
gnl|ECaadb|1143|NP_415769.1	gnl|RZaadb|250	NP_415769.1
gnl|ECaadb|1147|NP_415773.1	gnl|RZaadb|3675	NP_415773.1
gnl|ECaadb|1148|NP_415774.1	gnl|RZaadb|313	NP_415774.1
gnl|ECaadb|1150|NP_415776.1	gnl|RZaadb|4262	NP_415776.1
gnl|ECaadb|1151|NP_415777.1	gnl|RZaadb|4263	NP_415777.1
gnl|ECaadb|115|NP_414666.1	gnl|RZaadb|2904	NP_414666.1
gnl|ECaadb|1160|NP_415786.1	gnl|RZaadb|2090	NP_415786.1
gnl|ECaadb|1161|NP_415787.1	gnl|RZaadb|2799	NP_415787.1
gnl|ECaadb|1166|NP_415792.1	gnl|RZaadb|4375	NP_415792.1
gnl|ECaadb|116|NP_414667.4	gnl|RZaadb|164	NP_414667.4
gnl|ECaadb|1171|NP_415797.1	gnl|RZaadb|3383	NP_415797.1
gnl|ECaadb|1178|NP_415804.1	gnl|RZaadb|3048	NP_415804.1
gnl|ECaadb|1187|NP_415813.4	gnl|RZaadb|2851	NP_415813.4
gnl|ECaadb|1188|NP_415814.4	gnl|RZaadb|66	NP_415814.4
gnl|ECaadb|1189|NP_415815.1	gnl|RZaadb|5641	NP_415815.1
gnl|ECaadb|118|NP_414669.1	gnl|RZaadb|2074	NP_414669.1
gnl|ECaadb|1190|NP_415816.1	gnl|RZaadb|4076	NP_415816.1
