qName	sName	peri	Evalue	bitScore	qlen	coveragePercent
gnl|ECaadb|243	gnl|RZaadb|3094	34.21	3e-32	116	252	90.4761904761905
gnl|ECaadb|278	gnl|RZaadb|1164	34.21	2e-23	90.5	195	96.9230769230769
gnl|ECaadb|320	gnl|RZaadb|860	38.46	4e-18	69.7	91	100
gnl|ECaadb|355	gnl|RZaadb|241	49.33	5e-73	219	229	97.3799126637555
gnl|ECaadb|369	gnl|RZaadb|16	42.18	4e-35	117	149	98.6577181208054
gnl|ECaadb|391	gnl|RZaadb|5895	43.9	3e-15	63.2	105	73.3333333333333
gnl|ECaadb|403	gnl|RZaadb|545	52.32	5e-59	178	152	99.3421052631579
gnl|ECaadb|419	gnl|RZaadb|5144	39.29	2e-13	63.5	215	39.0697674418605
gnl|ECaadb|442	gnl|RZaadb|548	44.88	6e-33	110	135	94.0740740740741
gnl|ECaadb|512	gnl|RZaadb|5833	44.59	1e-65	201	227	97.7973568281938
gnl|ECaadb|610	gnl|RZaadb|772	43.33	9e-31	105	148	81.0810810810811
gnl|ECaadb|619	gnl|RZaadb|4619	42.15	2e-47	154	225	98.6666666666667
gnl|ECaadb|710	gnl|RZaadb|2498	30.18	2e-21	86.3	223	95.5156950672646
gnl|ECaadb|801	gnl|RZaadb|4068	45.52	3e-45	143	164	88.4146341463415
gnl|ECaadb|824	gnl|RZaadb|12	49.45	4e-29	98.2	94	96.8085106382979
gnl|ECaadb|924	gnl|RZaadb|5412	50.82	5e-63	192	212	86.3207547169811
gnl|ECaadb|925	gnl|RZaadb|4066	57.83	0	1347	1320	94.9242424242424
gnl|ECaadb|1015	gnl|RZaadb|930	30.1	5e-21	84.3	210	92.8571428571429
gnl|ECaadb|1034	gnl|RZaadb|1178	42.66	1e-55	174	223	97.7578475336323
gnl|ECaadb|1189	gnl|RZaadb|5641	35.2	1e-30	108	185	95.6756756756757
gnl|ECaadb|1217	gnl|RZaadb|1316	53.54	1e-97	286	299	99.3311036789298
gnl|ECaadb|1223	gnl|RZaadb|4983	30.35	8e-23	91.3	250	78
gnl|ECaadb|1395	gnl|RZaadb|3409	37.84	5e-17	70.9	144	73.6111111111111
gnl|ECaadb|1498	gnl|RZaadb|2566	37.04	1e-20	80.1	144	93.75
gnl|ECaadb|1513	gnl|RZaadb|3019	32.93	5e-47	159	341	97.9472140762463
gnl|ECaadb|1563	gnl|RZaadb|2735	50.54	1e-30	102	99	93.9393939393939
gnl|ECaadb|1638	gnl|RZaadb|3731	32.74	2e-37	130	273	82.4175824175824
gnl|ECaadb|1700	gnl|RZaadb|4681	33.22	1e-42	145	289	98.2698961937716
gnl|ECaadb|1755	gnl|RZaadb|1230	34.34	7e-32	112	218	90.8256880733945
gnl|ECaadb|1814	gnl|RZaadb|4895	39.32	1e-65	205	305	95.0819672131148
gnl|ECaadb|1836	gnl|RZaadb|942	41.25	8e-18	68.6	83	96.3855421686747
gnl|ECaadb|1897	gnl|RZaadb|4872	40.77	2e-48	157	240	95.4166666666667
gnl|ECaadb|1997	gnl|RZaadb|4928	34.17	4e-30	108	215	92.0930232558139
gnl|ECaadb|2017	gnl|RZaadb|3319	32.36	2e-40	143	354	96.045197740113
gnl|ECaadb|2024	gnl|RZaadb|5072	37.68	2e-100	307	461	99.3492407809111
gnl|ECaadb|2090	gnl|RZaadb|1129	33.7	4e-40	140	312	86.5384615384615
gnl|ECaadb|2277	gnl|RZaadb|970	52.08	3e-69	233	670	35.8208955223881
gnl|ECaadb|2316	gnl|RZaadb|2962	37.65	6e-14	62.8	162	52.4691358024691
gnl|ECaadb|2448	gnl|RZaadb|1985	53.12	0	823	876	96.2328767123288
gnl|ECaadb|2554	gnl|RZaadb|2466	37.2	1e-59	190	305	95.7377049180328
gnl|ECaadb|2580	gnl|RZaadb|345	34.46	9e-54	177	343	84.2565597667638
gnl|ECaadb|2582	gnl|RZaadb|3572	31.03	2e-26	103	311	83.9228295819936
gnl|ECaadb|2644	gnl|RZaadb|2096	33.99	2e-41	143	297	98.6531986531987
gnl|ECaadb|2722	gnl|RZaadb|2246	37.05	1e-48	162	318	78.6163522012579
gnl|ECaadb|2766	gnl|RZaadb|3120	34.39	6e-55	178	310	91.2903225806452
gnl|ECaadb|2776	gnl|RZaadb|1428	49.38	2e-19	79.7	207	39.1304347826087
gnl|ECaadb|2796	gnl|RZaadb|5590	38.81	8e-32	115	258	75.1937984496124
gnl|ECaadb|2914	gnl|RZaadb|3631	37.44	3e-41	139	263	85.9315589353612
gnl|ECaadb|2940	gnl|RZaadb|1764	56.58	8e-24	88.6	156	48.7179487179487
gnl|ECaadb|2949	gnl|RZaadb|5630	39.34	2e-08	50.1	220	27.2727272727273
