gnl|RZaadb|1006|WP_011428143.1	WP_011428143.1	gnl|RZaadb|1006
gnl|RZaadb|1012|WP_012482085.1	WP_012482085.1	gnl|RZaadb|1012
gnl|RZaadb|1013|WP_012482086.1	WP_012482086.1	gnl|RZaadb|1013
gnl|RZaadb|1014|WP_012482087.1	WP_012482087.1	gnl|RZaadb|1014
gnl|RZaadb|1016|WP_012482102.1	WP_012482102.1	gnl|RZaadb|1016
gnl|RZaadb|1017|WP_012482113.1	WP_012482113.1	gnl|RZaadb|1017
gnl|RZaadb|1018|WP_012482115.1	WP_012482115.1	gnl|RZaadb|1018
gnl|RZaadb|1019|WP_012482116.1	WP_012482116.1	gnl|RZaadb|1019
gnl|RZaadb|101|WP_004668744.1	WP_004668744.1	gnl|RZaadb|101
gnl|RZaadb|1020|WP_012482117.1	WP_012482117.1	gnl|RZaadb|1020
gnl|RZaadb|1022|WP_012482120.1	WP_012482120.1	gnl|RZaadb|1022
gnl|RZaadb|1023|WP_012482121.1	WP_012482121.1	gnl|RZaadb|1023
gnl|RZaadb|1024|WP_012482122.1	WP_012482122.1	gnl|RZaadb|1024
gnl|RZaadb|1025|WP_012482123.1	WP_012482123.1	gnl|RZaadb|1025
gnl|RZaadb|1030|WP_012482129.1	WP_012482129.1	gnl|RZaadb|1030
gnl|RZaadb|1033|WP_012482152.1	WP_012482152.1	gnl|RZaadb|1033
gnl|RZaadb|1034|WP_012482163.1	WP_012482163.1	gnl|RZaadb|1034
gnl|RZaadb|1037|WP_012482204.1	WP_012482204.1	gnl|RZaadb|1037
gnl|RZaadb|1039|WP_012482242.1	WP_012482242.1	gnl|RZaadb|1039
gnl|RZaadb|103|WP_004668751.1	WP_004668751.1	gnl|RZaadb|103
gnl|RZaadb|1047|WP_012482289.1	WP_012482289.1	gnl|RZaadb|1047
gnl|RZaadb|1054|WP_012482366.1	WP_012482366.1	gnl|RZaadb|1054
gnl|RZaadb|1055|WP_012482367.1	WP_012482367.1	gnl|RZaadb|1055
gnl|RZaadb|1059|WP_012482401.1	WP_012482401.1	gnl|RZaadb|1059
gnl|RZaadb|1060|WP_012482404.1	WP_012482404.1	gnl|RZaadb|1060
gnl|RZaadb|1061|WP_012482410.1	WP_012482410.1	gnl|RZaadb|1061
gnl|RZaadb|1063|WP_012482416.1	WP_012482416.1	gnl|RZaadb|1063
gnl|RZaadb|1065|WP_012482436.1	WP_012482436.1	gnl|RZaadb|1065
gnl|RZaadb|106|WP_004668787.1	WP_004668787.1	gnl|RZaadb|106
gnl|RZaadb|1075|WP_012482530.1	WP_012482530.1	gnl|RZaadb|1075
gnl|RZaadb|1076|WP_012482531.1	WP_012482531.1	gnl|RZaadb|1076
gnl|RZaadb|1077|WP_012482532.1	WP_012482532.1	gnl|RZaadb|1077
gnl|RZaadb|1079|WP_012482560.1	WP_012482560.1	gnl|RZaadb|1079
gnl|RZaadb|107|WP_004668797.1	WP_004668797.1	gnl|RZaadb|107
gnl|RZaadb|1081|WP_012482562.1	WP_012482562.1	gnl|RZaadb|1081
