product	protein_id
DNA-binding response regulator	WP_016736883.1
DNA-binding response regulator	WP_010014366.1
LacI family transcriptional regulator	WP_029532139.1
DNA-binding response regulator	WP_016737036.1
LysR family transcriptional regulator	WP_016736998.1
DNA-binding response regulator	WP_016736973.1
DeoR/GlpR transcriptional regulator	WP_004678031.1
MurR/RpiR family transcriptional regulator	WP_016736730.1
Fis family transcriptional regulator	WP_016736761.1
Cu(I)-responsive transcriptional regulator	WP_004678499.1
type II toxin-antitoxin system prevent-host-death family antitoxin	WP_010025738.1
Txe/YoeB family addiction module toxin	WP_016736523.1
DNA-binding response regulator	WP_016736656.1
AraC family transcriptional regulator	WP_016735466.1
LacI family DNA-binding transcriptional regulator	WP_004680351.1
DeoR/GlpR transcriptional regulator	WP_016735692.1
DNA-binding response regulator	WP_016735855.1
trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase	WP_016735901.1
ArsR family transcriptional regulator	WP_016735903.1
cupin domain-containing protein	WP_029531806.1
LysR family transcriptional regulator	WP_016735246.1
transcriptional regulator NanR	WP_016735333.1
hydrogen peroxide-inducible genes activator	WP_016735360.1
DNA-binding protein HRL53	WP_003547346.1
acyl-CoA dehydrogenase	WP_016734019.1
DNA-binding response regulator	WP_012483518.1
nitrogen regulation protein NR(I)	WP_012483696.1
transcriptional regulator BetI	WP_012483077.1
TetR/AcrR family transcriptional regulator	WP_010025457.1
DNA-binding response regulator	WP_012483203.1
DNA-binding response regulator	WP_037113567.1
transcriptional regulator NrdR	WP_003547190.1
integration host factor subunit alpha	WP_016734167.1
LysR family transcriptional regulator	WP_016733827.1
DUF1956 domain-containing protein	WP_016733870.1
TetR family transcriptional regulator	WP_029531483.1
MarR family transcriptional regulator	WP_016733953.1
sigma-54-dependent Fis family transcriptional regulator	WP_016737218.1
transcriptional regulator ArgP	WP_016733336.1
LacI family transcriptional regulator	WP_016737301.1
AraC family transcriptional regulator	WP_016737306.1
MerR family DNA-binding transcriptional regulator	WP_016737522.1
redox-sensitive transcriptional activator SoxR	WP_012485457.1
LysR family transcriptional regulator	WP_012484080.1
Lrp/AsnC family transcriptional regulator	WP_004678404.1
alanine--tRNA ligase	WP_016733199.1
chromosomal replication initiator protein DnaA	WP_012482404.1
transcriptional repressor	WP_010004259.1
integration host factor subunit beta	WP_003544934.1
6-O-methylguanine DNA methyltransferase	WP_016734937.1
phosphate regulon transcriptional regulatory protein PhoB	WP_004672768.1
LacI family transcriptional regulator	WP_004674538.1
transcriptional regulator	WP_011424096.1
LysR family transcriptional regulator	WP_012482798.1
LysR family transcriptional regulator	WP_016734691.1
IclR family transcriptional regulator	WP_016734656.1
LacI family transcriptional regulator	WP_016734548.1
