//
; ArgP	Transcription Factor
A |	15	2	4	3	3	2	4	2	7	4	14	4	2	4	3	0	9	11	3
C |	1	1	0	3	1	9	2	1	0	7	2	0	1	4	5	3	8	5	3
G |	0	3	0	1	5	3	3	9	0	3	2	2	10	7	5	6	1	3	1
T |	3	13	15	12	10	5	10	7	12	5	1	13	6	4	6	10	1	0	12
//
; CytR	Transcription Factor
A |	10	11	2	4	3	3	3	4	6	3	15	7	8	9	9	4	5	5	9	5	1	4	5
C |	6	4	5	5	2	7	1	4	0	14	0	0	1	1	4	4	2	5	3	1	4	2	7
G |	0	1	2	1	7	3	1	0	10	0	1	3	1	3	1	2	6	1	3	3	0	7	2
T |	1	1	8	7	5	4	12	9	1	0	1	7	7	4	3	7	4	6	2	8	12	4	3
//
; Dan	Transcription Factor
A |	1	3	1	1	1	0	0	2	5	0	0
C |	3	1	2	2	0	0	0	1	0	0	0
G |	0	1	1	0	4	0	1	1	0	0	0
T |	1	0	1	2	0	5	4	1	0	5	5
//
; GalR	Transcription Factor
A |	5	4	0	6	3	0	0	3	7	12	4	0	3	3	0	0	8	1
C |	3	1	3	1	0	1	1	1	3	0	0	9	0	0	0	0	0	11
G |	4	2	5	2	6	0	10	5	0	0	6	0	8	6	0	0	1	0
T |	0	5	4	3	3	11	1	3	2	0	2	3	1	3	12	12	3	0
//
; GcvA	Transcription Factor
A |	0	1	6	2	5	2	2	4	2	1	0	4	6	0	1	0	0	2
C |	1	1	0	2	0	0	0	0	1	5	0	0	0	0	0	1	3	0
G |	1	2	0	0	0	0	0	0	1	0	0	0	0	0	4	4	1	0
T |	4	2	0	2	1	4	4	2	2	0	6	2	0	6	1	1	2	4
//
; GntR	Transcription Factor
A |	5	2	0	1	2	8	1	0	0	1	0	7	7	1	9	2	4	4	1	3	9	5
C |	2	3	0	0	1	0	5	5	6	0	1	1	0	7	0	0	1	1	3	3	0	0
G |	0	0	9	1	0	0	0	2	2	7	0	0	0	0	0	1	0	1	3	1	0	0
T |	2	4	0	7	6	1	3	2	1	1	8	1	2	1	0	6	4	3	2	2	0	4
//
; Lrp	Transcription Factor
A |	12	28	35	4	26	13	13	41	11	15	13	0	1
C |	8	17	0	12	5	1	7	8	9	25	49	0	0
G |	36	16	13	8	8	6	6	5	7	10	4	15	46
T |	24	19	32	56	41	60	54	26	53	30	14	65	33
//
; NanR	Transcription Factor
A |	0	8	0	9	0	0	3
C |	0	0	1	0	9	9	0
G |	0	1	0	0	0	0	0
T |	9	0	8	0	0	0	6
//
; NarP	Transcription Factor
A |	1	8	5	1	0	6	5	6	6	6	2	0	6	2	1	8
C |	0	2	5	11	7	5	0	1	2	5	0	2	0	0	1	0
G |	0	1	1	0	0	0	2	0	1	1	8	3	5	9	0	4
T |	11	1	1	0	5	1	5	5	3	0	2	7	1	1	10	0
//
; NtrC	Transcription Factor
A |	9	10	5	2	1	18	1	3	20	2	1	2	3	6	2	3	0	3	18	12
C |	0	2	5	0	25	4	21	13	1	0	2	3	4	1	3	3	4	21	2	9
G |	11	4	1	25	0	5	0	7	3	0	7	7	1	15	20	10	22	3	5	4
T |	7	11	16	0	1	0	5	4	3	25	17	15	19	5	2	11	1	0	2	2
//
; PurR	Transcription Factor
A |	15	3	0	1	22	22	14	0	0	2	0	0	5	0	2	2	1
C |	0	15	1	20	0	0	2	22	0	0	0	1	1	21	8	2	3
G |	6	2	21	1	0	0	1	0	22	5	1	1	2	0	6	1	4
T |	1	2	0	0	0	0	5	0	0	15	21	20	14	1	6	17	14
//
; PuuR	Transcription Factor
A |	3	3	2	2	0	0	0	4	3	3	4	2	4	0	3	3	0	0	3	2	0	4
C |	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	4	0
G |	0	1	1	2	0	3	3	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
T |	1	0	0	0	3	1	1	0	0	1	0	2	0	4	1	1	4	0	0	0	0	0
//
; Rob	Transcription Factor
A |	5	4	3	2	0	9	5	1	6	6	4	5	3	2	2	0	0	0	7	0	4	6	3
C |	2	1	2	2	0	1	1	9	3	0	1	3	6	0	1	0	11	5	0	1	3	1	2
G |	4	4	2	1	1	4	6	0	4	2	0	0	0	10	1	14	1	4	6	0	2	3	4
T |	3	5	7	9	13	0	2	4	1	6	9	6	5	2	10	0	2	5	1	13	5	4	5
//
; RutR	Transcription Factor
A |	1	1	1	4	0	1	3	2	0	0	2	0	1	0	2	5	1	0	1	0
C |	1	1	0	1	5	4	0	0	1	0	1	0	0	5	2	0	4	0	1	1
G |	0	0	4	0	0	0	2	1	1	0	2	5	0	0	0	0	0	2	0	1
T |	3	3	0	0	0	0	0	2	3	5	0	0	4	0	1	0	0	3	3	3
//
; SlyA	Transcription Factor
A |	10	1	1	10	4	3	3	10	3	9	4	12	13	10	0
C |	0	0	2	1	5	2	0	3	0	0	0	1	0	2	1
